,BE,EC,Fib,LE,Leu,SM,weight
10974,0.6705169692134806,0.0,0.6705169692134806,0.0,0.6705169692134806,0.0,0.6705169692134806
10581,nan,0.0,0.0,nan,nan,0.0,0.0
687,0.47,0.47,0.47,0.47,0.47,0.0,0.47
64129,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.0,0.1632138375250183
2,0.9135720165548153,0.9135720165548153,0.0,0.9135720165548153,0.9135720165548153,0.0,0.9135720165548153
3122,0.20331295829546508,0.0,0.20331295829546508,0.20331295829546508,0.0,0.20331295829546508,0.20331295829546508
972,0.24037954358207297,0.0,0.24037954358207297,0.24037954358207297,0.0,0.24037954358207297,0.24037954358207297
5552,0.6956465413453106,0.0,0.6956465413453106,0.6956465413453106,0.0,0.6956465413453106,0.6956465413453106
5996,0.880980164152612,0.880980164152612,0.880980164152612,0.880980164152612,0.0,0.880980164152612,0.880980164152612
3115,0.37525694306935975,0.0,0.37525694306935975,0.37525694306935975,0.0,0.37525694306935975,0.37525694306935975
2207,0.895074651733345,0.895074651733345,0.895074651733345,0.895074651733345,0.0,0.895074651733345,0.895074651733345
3113,0.1968861997488558,0.0,0.1968861997488558,0.1968861997488558,0.0,0.1968861997488558,0.1968861997488558
4069,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.0,0.8200652981348844,0.8200652981348844
1535,nan,nan,nan,nan,0.0,nan,0.0
7805,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.0,0.8597257640364617,0.8597257640364617
199,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.0,0.6779539196068811,0.6779539196068811
3119,0.06620392761324126,0.06620392761324126,0.06620392761324126,0.06620392761324126,0.0,0.06620392761324126,0.06620392761324126
241,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.0,0.7428699813759462,0.7428699813759462
3108,nan,nan,nan,nan,0.0,nan,0.0
2217,nan,0.0,0.0,nan,0.0,nan,0.0
128346,0.9527609333333333,0.9527609333333333,0.9527609333333333,0.9527609333333333,0.0,0.9527609333333333,0.9527609333333333
427,nan,nan,nan,nan,0.0,nan,0.0
728,0.5484525506732515,0.5484525506732515,0.5484525506732515,0.5484525506732515,0.0,0.5484525506732515,0.5484525506732515
5329,0.08893006765046929,0.08893006765046929,0.0,0.08893006765046929,0.0,0.08893006765046929,0.08893006765046929
397,0.94,0.94,0.94,0.94,0.0,0.94,0.94
7378,nan,0.0,nan,nan,0.0,nan,0.0
822,0.824061783848601,0.824061783848601,0.824061783848601,0.824061783848601,0.0,0.824061783848601,0.824061783848601
4245,nan,nan,nan,nan,0.0,nan,0.0
9555,nan,nan,nan,nan,0.0,nan,0.0
27101,nan,nan,nan,nan,0.0,nan,0.0
4477,0.9080932286148128,0.9080932286148128,0.9080932286148128,0.0,0.9080932286148128,0.9080932286148128,0.9080932286148128
5349,0.0,0.6161755028680032,0.6161755028680032,0.0,0.6161755028680032,0.6161755028680032,0.6161755028680032
124220,0.5086772680757186,0.5086772680757186,0.5086772680757186,0.0,0.5086772680757186,0.5086772680757186,0.5086772680757186
10653,0.0,0.0887254695,0.0887254695,0.0,0.0887254695,0.0887254695,0.0887254695
8673,0.0,0.595,0.595,0.0,0.0,0.595,0.595
26471,0.0,0.7710404384812783,0.7710404384812783,0.0,0.7710404384812783,0.0,0.7710404384812783
132299,0.3514285714285714,0.3514285714285714,0.3514285714285714,0.0,0.3514285714285714,0.3514285714285714,0.3514285714285714
1675,0.5968421921321027,0.5968421921321027,0.0,0.5968421921321027,0.5968421921321027,0.5968421921321027,0.5968421921321027
4256,0.7755827599189722,0.0,0.0,0.7755827599189722,0.7755827599189722,0.0,0.7755827599189722
5176,0.7419971136334578,0.7419971136334578,0.0,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578
3569,0.1701842557021957,0.1701842557021957,0.0,0.1701842557021957,0.1701842557021957,0.1701842557021957,0.1701842557021957
5270,nan,nan,0.0,nan,nan,nan,0.0
1292,0.14089492297460177,0.14089492297460177,0.0,0.14089492297460177,0.14089492297460177,0.0,0.14089492297460177
9590,0.6576617356201644,0.6576617356201644,0.0,0.6576617356201644,0.6576617356201644,0.0,0.6576617356201644
4239,0.4159903157253002,0.4159903157253002,0.0,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002
2014,nan,nan,0.0,nan,0.0,nan,0.0
7035,nan,nan,0.0,nan,nan,nan,0.0
7130,0.9149963091757342,0.9149963091757342,0.0,0.9149963091757342,0.9149963091757342,0.9149963091757342,0.9149963091757342
2247,0.033727070604983055,0.033727070604983055,0.0,0.033727070604983055,0.033727070604983055,0.033727070604983055,0.033727070604983055
6275,0.8914285714285715,0.8914285714285715,0.0,0.8914285714285715,0.0,0.0,0.8914285714285715
2995,0.5969758988045732,0.5969758988045732,0.0,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.5969758988045732
1514,nan,nan,0.0,nan,nan,nan,0.0
11167,nan,nan,0.0,nan,nan,nan,0.0
