marker_ID,BE,EC,Fib,LE,Leu,SM
TAGLN,0.0,0.0,0.0,0.0,0.0,4.079253502007013
C11orf96,0.0,0.0,3.3263876527560043,0.0,0.0,4.116607233313836
IGFBP7,0.0,3.0283606319252705,3.771911932052576,0.0,0.0,3.975619298564219
MYL9,0.7359108204138842,0.0,0.0,0.0,0.0,3.482060222674072
TPM2,0.0,0.0,1.2559716491902913,0.0,0.0,3.2090338194288557
RGS5,0.0,0.0,0.0,0.0,0.0,2.9136842863569146
CALD1,0.0,0.0,1.6835306090808566,1.066281173897789,0.0,3.293827074670789
MT1A,0.0,0.0,0.0,0.0,0.0,2.6941186849244216
ACTA2,0.0,0.0,0.0,0.0,0.0,2.4719789827283236
IGFBP6,0.0,0.0,2.264989782919343,0.0,0.0,2.582082585978958
SPARCL1,0.0,2.9937225380389423,2.5837941996102134,0.0,0.0,3.0504830914621346
GJA4,0.0,0.0,0.0,0.0,0.0,2.0658379656080985
MYH11,0.0,0.0,0.0,0.0,0.0,2.1067442646540355
ADIRF,0.0,1.3708402865199492,0.0,1.9835328887199386,0.0,2.9272703535992823
CRISPLD2,0.0,0.0,1.1366895591955744,0.0,0.0,2.0717415335803433
HEL-S-265,0.0,0.0,0.0,0.0,0.0,2.3328092166000634
ADAMTS4,0.0,0.6605770926445236,0.0,0.0,0.0,2.1462586816975753
PDK4,0.0,0.0,0.0,0.0,0.0,2.177905563740203
TIMP3,1.1176874080854655,0.0,1.4283560144068597,0.0,0.0,2.4676342207638027
MFGE8,0.0,0.0,1.063861395866956,0.0,0.0,1.745438327518735
MYLK,0.0,0.0,0.0,0.0,0.0,1.5550195338229669
HES4,0.0,0.0,0.0,0.7561114402820621,0.0,2.124315015660031
MAP1B,0.0,0.0,0.0,0.0,0.0,1.7072026509403253
PPP1R14A,0.0,0.0,0.0,0.0,0.0,1.3787841260133002
MT1M,0.0,0.0,0.0,0.0,0.0,1.3754550895030422
CREM,0.0,0.0,1.6660800403112268,0.0,0.0,1.6914819945404158
GPX3,0.0,0.0,0.0,0.0,0.0,1.7328927930829507
RHOB,0.0,0.0,0.0,0.0,0.0,1.7992468895665101
SOD3,0.0,0.0,1.6333427135823704,0.0,0.0,1.7068023579043325
ADAMTS1,0.0,0.0,0.0,0.0,0.0,1.471185079493508
LPP,0.0,0.0,0.0,0.7718560249792876,0.0,1.6469006709445084
IFITM2,0.0,1.7923986442961504,1.4399802084127722,0.0,0.0,2.07526037784782
BGN,0.0,0.0,0.0,0.0,0.0,1.302427057813941
ID4,0.0,0.0,0.0,0.0,0.0,1.3675538753594516
FLNA,0.0,0.0,0.0,0.0,0.0,1.280667563673733
MT1X,1.2901853622688368,0.0,0.0,0.8956778846300748,0.0,2.039935991769891
MTHFD2,0.0,0.0,0.0,0.0,0.0,1.3145165711290745
KLF9,0.0,0.0,0.0,0.0,0.0,1.426768499228004
COL4A1,0.0,0.0,0.0,0.0,0.0,1.1895979300681403
NR4A1,0.0,0.0,1.0635208282957473,0.0,0.0,1.597887741915069
TINAGL1,0.0,0.0,0.0,0.0,0.0,1.2951673736587774
EPAS1,0.0,0.0,0.0,0.0,0.0,1.3070140537557045
HEL-S-115,0.0,0.0,0.0,0.0,0.7632388526335978,1.3763097871726573
SEPTIN7,0.0,0.0,0.0,0.0,0.0,1.4987204039010618
ARID5B,1.1217577620628871,0.0,1.3015506749445347,0.0,0.0,1.7286603422298212
A2M,0.0,0.0,0.3106696005733892,0.0,0.0,0.8932312581906997
MT1E,0.0,0.0,0.0,1.2129064173794366,0.0,1.420413554724076
CSRP2,0.0,0.0,0.0,0.0,0.0,1.10705841886135
CAV1,0.0,1.2885456922983494,0.0,0.0,0.0,1.53288612499703
HEL-S-80p,0.0,0.0,0.0,1.4035383476117622,0.9258768266782156,1.5230010905045375
ATF3,0.0,0.0,0.0,1.1882870948895858,0.0,1.5840473393885008
MAT2A,0.0,0.0,0.0,0.0,0.0,0.7755572650646027
NUDT4,0.0,0.0,0.0,0.0,0.0,0.8573730663993837
CD151,0.0,0.0,0.0,0.9947965236130033,0.0,1.297959529574614
TCEAL4,0.0,0.0,0.0,0.0,0.0,1.3006197959473158
HEL-S-29,0.0,0.0,0.0,0.9963915766103074,0.0,1.1485408849422778
BTG2,0.0,0.0,0.0,0.0,0.0,0.9844423758870278
CAVIN1,0.0,0.0,0.0,0.0,0.0,1.2913028031884974
ESD,0.0,0.0,0.0,0.0,0.0,0.9862446035281137
MGST3,0.6565389285612657,0.0,0.0,0.0,0.0,1.226683883553882
PSMD8,0.0,0.0,0.0,0.0,0.0,0.885807677326856
EIF3G,0.8187213386539265,0.6931834027584742,0.0,0.0,0.0,1.010443755645848
HLA-DRA,0.0,1.9621352047589626,0.0,0.0,3.7970733444421185,0.0
CD74,0.0,2.6608497759893344,0.0,0.0,4.00395184813537,0.0
TYROBP,0.0,0.0,0.0,0.0,3.153744895584228,0.0
SRGN,0.0,1.9328990375309125,0.0,0.0,3.5686630042869463,0.0
ADIC,0.0,0.0,0.0,0.0,3.3440925641347934,0.0
C1QB,0.0,0.0,0.0,0.0,3.250609950688458,0.0
RGS1,0.0,0.0,0.0,0.0,2.7504853486806597,0.0
HLA-DPB1,0.0,1.1302637874636288,0.0,0.0,2.8184041351562086,0.0
FCER1G,0.0,0.0,0.0,0.0,2.453707152431596,0.0
HLA-DPA1,0.0,1.2683824981846805,0.0,0.0,2.739092926763556,0.0
HLA-DRB1,0.0,2.2289236730692013,0.0,0.0,2.7904637448959146,0.0
ADIB,0.0,0.0,0.0,0.0,2.514287254029214,0.0
LYZ,0.0,0.0,0.0,0.0,2.260575495948261,0.0
CYBA,0.0,0.0,0.0,0.0,2.572800575725719,0.0
EBI2,0.0,0.0,0.0,0.0,2.0253267311211003,0.0
LAPTM5,0.0,0.0,0.0,0.0,2.0343546833015966,0.0
AIF1,0.0,0.0,0.0,0.0,1.9050890057260235,0.0
CCL3,0.0,0.0,0.0,0.0,1.0978045289289715,0.0
G0S2,0.0,0.0,0.9813846000005821,0.0,2.504522066428031,0.0
CTSZ,0.0,0.0,0.0,0.0,2.073447625548687,0.0
MS4A6A,0.0,0.0,0.0,0.0,1.9323199059135918,0.0
CD68,0.0,0.0,0.0,0.0,1.7313510981729716,0.0
BCL2A1,0.0,0.0,0.0,0.0,1.5469422023854569,0.0
FCGR2A,0.0,0.0,0.0,0.0,1.5390845677113028,0.0
HLA-DQB1,0.0,0.0,0.0,0.0,1.740140548677069,0.0
MS4A7,0.0,0.0,0.0,0.0,1.605874126265751,0.0
LST1,0.0,0.0,0.0,0.0,1.654399712400959,0.0
COTL1,0.0,0.0,0.0,0.0,2.0059210209623215,0.0
ALOX5AP,0.0,0.0,0.0,0.0,1.5655382998075016,0.0
CD83,0.0,0.0,0.0,0.0,1.4665251312717555,0.0
BASP1,0.0,0.0,0.0,0.0,1.935018278274633,0.0
CTSB,1.2270971226764862,0.0,0.0,0.804063467350968,2.2790329092109007,0.0
HLA-DRB5,0.0,1.3927036649669906,0.0,0.0,1.6593986767013367,0.0
CTSS,0.0,0.0,0.0,0.0,1.5841672622202407,0.0
AREG,0.8643524836769566,0.0,0.0,0.0,1.9226192672551705,0.0
HEL-S-130P,0.0,0.0,0.0,0.0,1.840308509422147,0.0
NINJ1,0.0,0.0,0.0,0.0,1.60006420913208,0.0
OLR1,0.0,0.0,0.0,0.0,1.192581786946559,0.0
HSPA6,0.0,0.0,0.0,0.0,1.3157765808055524,0.0
C15orf48,0.0,0.0,0.0,0.0,1.155039679617446,0.0
RGS2,0.0,0.0,0.0,0.0,1.4292473509259382,0.0
SERPINB9,0.0,0.0,0.0,0.0,1.346503429175536,0.0
VSIG4,0.0,0.0,0.0,0.0,1.3135521095959668,0.0
DMA,0.0,0.0,0.0,0.0,1.4202534442408188,0.0
GRN,0.0,0.0,0.0,0.0,1.7030371404554758,0.0
RNASET2,0.0,0.0,0.0,0.0,1.5278745238124636,0.0
FCGRT,0.0,0.9305173283405037,0.839694403195135,0.0,1.6973499424465126,0.0
SAMSN1,0.0,0.0,0.0,0.0,1.2121095315085957,0.0
HLA-DQA1,0.0,0.0,0.0,0.0,1.2301370412016333,0.0
MAFB,0.0,0.0,0.0,0.0,1.2122098185026315,0.0
REL,0.0,0.0,0.0,0.0,1.592248642210729,0.0
CXCR4,0.0,0.0,0.0,0.0,1.04919265526582,0.0
PLEK,0.0,0.0,0.0,0.0,0.8534012332993509,0.0
ID2,0.0,0.0,0.0,0.0,1.6071130831980063,0.0
RNASE6,0.0,0.0,0.0,0.0,1.0290090963154734,0.0
DNAJB1,1.2761791545233505,0.0,0.0,0.0,2.484998321420278,1.75510163528925
SPI1,0.0,0.0,0.0,0.0,1.0570231730112338,0.0
ITGB2,0.0,0.0,0.0,0.0,1.0570231730112338,0.0
IER5,0.0,0.0,0.0,0.0,1.2664109239412287,0.0
ARPC1B,0.0,1.5473326913831862,0.0,0.0,1.6636770169787929,0.0
RGS10,0.0,0.0,0.0,0.0,1.3035516891979546,0.0
TYMP,0.0,0.0,0.0,0.0,1.2662511903399767,0.0
THBS1,0.0,0.0,1.1807201255569721,0.0,1.3157765808055524,0.0
OGFRL1,0.0,0.0,0.0,0.0,1.0322560219384536,0.0
GPSM3,0.0,0.0,0.0,0.0,1.04919265526582,0.0
CALHM6,0.0,0.0,0.0,0.0,0.7187899440683969,0.0
C1orf162,0.0,0.0,0.0,0.0,0.8521654022163774,0.0
ASAH1,0.0,0.0,0.0,0.0,1.360977509180329,0.0
C5AR1,0.0,0.0,0.0,0.0,0.5966986911284757,0.0
INSIG1,0.0,1.4381295129957206,0.0,0.0,1.51154618997068,0.0
PLAUR,0.0,0.0,1.5279401163176325,0.0,1.9784017689674431,0.0
ARHGDIB,0.0,0.0,0.0,0.0,1.0297222854926655,0.0
CD53,0.0,0.0,0.0,0.0,0.6388112408658314,0.0
UPP1,0.0,0.886058363740214,0.0,0.0,1.0200799489590069,0.0
RNF130,0.0,0.0,0.0,0.0,1.0251738891968598,0.0
SEC11A,0.0,1.1438803671373816,1.0782131877905976,0.0,1.5921187276418511,0.0
TAOK3,0.0,0.0,0.0,0.0,0.896879858245805,0.0
CMTM6,0.0,0.0,0.0,0.0,1.257815613341124,0.0
BID,0.0,0.0,0.0,0.0,1.0404322546365505,0.0
ZFAND2A,0.0,0.0,0.0,0.0,0.8210834020321922,0.0
CAPG,0.0,0.0,0.0,0.0,1.0922749079506862,0.0
NFKB1,0.0,0.0,0.0,0.0,1.0012435591744904,0.0
HIF1A,0.0,0.0,0.0,0.0,1.189054309391039,0.0
FAM49B,0.0,0.0,0.0,0.0,0.9896643477161289,0.0
RILPL2,0.0,0.0,0.0,0.0,0.9258768266782156,0.0
CXCL16,0.0,0.0,0.0,0.0,1.04919265526582,0.0
TPP1,0.0,0.0,0.0,0.0,0.7225182671479455,0.0
MGAT1,0.0,0.0,0.0,0.0,0.9896643477161289,0.0
ARHG,0.0,0.0,0.0,0.0,1.040728281839607,0.0
FNIP2,0.0,0.0,0.0,0.0,0.707892093371833,0.0
MACROH2A1,0.0,0.0,0.0,0.0,1.1502889221580512,0.0
HEL57,0.0,0.0,0.0,0.0,1.025487865356018,0.0
ADFP,0.0,0.0,1.010462589912372,0.0,1.2092603171577563,0.0
CACYBP,0.0,0.0,0.0,0.0,1.071867753468622,0.0
CHCHD10,1.1337287501130324,0.0,0.0,0.0,1.2735740372879385,0.0
DDIT4,0.0,0.0,0.0,0.0,0.9034591327968102,0.0
PABPC4,0.0,0.0,0.0,0.0,0.7151599577106976,0.0
BAG3,1.3211735411898573,0.0,0.0,0.0,1.5843188523387683,1.2594607247744327
TACC1,0.0,0.0,0.0,0.0,0.6731561341245942,0.0
EFHD2,0.0,0.0,0.0,0.0,0.7386243946185265,0.0
CTSH,0.0,0.0,0.0,0.0,1.048158989581798,0.0
GDI2,0.0,0.0,0.0,0.0,0.8764654979647091,0.0
CHMP1B,0.0,0.0,0.0,0.0,0.5966986911284757,0.0
MRPL18,0.0,0.0,0.0,0.0,0.9809820564692712,0.0
