disease_id,phase,time_range,substrate,disease_severity_class,mechanism,organ_pages_to_link,evidence_anchors,B_cells,naive_B_cells,memory_B_cells,plasma_cells,CD4_T_cells,CD8_T_cells,naive_CD4_T_cells,naive_CD8_T_cells,memory_CD4_T_cells,memory_CD8_T_cells,memory_T_cells_pooled,regulatory_T_cells,NK_cells,neutrophils,eosinophils,basophils,granulocytes_pooled,monocytes,macrophages_peripheral,microglia,kupffer_cells,pulmonary_macrophages,oral_macrophages,dendritic_cells,IC_immune_pooled,leukocyte_pooled,PBMC,Stage1_immune_pooled_Xu538,Stage1_immune_directional_panel,MPP,L_MPP,CMP,GMP,MEP,erythroblast,erythroid_progenitor,nRBC,megakaryocyte,OPC,NeuIm,HSPC_pooled,cortical_neurons,neurons_pooled,oligodendrocytes,cardiomyocytes,left_atrium,kera_diff,epi_upper,NeuMa,brain_pooled,skeletal_muscle,glia,astrocytes,breast_ductal,breast_lobular,breast_secretory_pooled,breast_LE,breast_BE,liver_hepatocytes,liver_bile_duct,cholangiocytes,pancreatic_beta_cells,pancreatic_acinar_cells,pancreatic_duct_cells,pancreatic_endocrine_pooled,pancreatic_exocrine_pooled,prostate_LE,prostate_BE,prostate_Fib,prostate_EC,prostate_SM,prostate_Leu,gastric_differentiated,gastric_antrum_diff,gastric_corpus_diff,gastric_fundus_diff,thyroid,esophageal_glandular,skin_melanocytes,head_neck_larynx_secretory,salivary,gastric_undifferentiated,gastric_antrum_undiff,gastric_corpus_undiff,gastric_fundus_undiff,colon_epithelial,small_intestine,rectal_epithelium,eso_basal,eso_epi_basal,eso_epi_stratified,eso_epi_suprabasal,lung_epithelial,lung_airway,kidney_epithelial,bladder_epithelial,bladder_loyfer_bulk,cervix_uterine,prostate_basal_cycling,breast_basal_cycling,skin_keratinocytes,pancreatic_ductal_cycling,head_neck_larynx,epithelial_cycling_pooled,fibroblasts,endothelial_cells,vascular_endothelial,adipocytes,smooth_muscle,cardiac_fibroblasts,cardiac_endothelial,cardiac_smooth_muscle,cardiac_stromal_pooled,pancreatic_stellate,hepatic_stellate,brain_astrocytes,osteoblasts,BMSC,placenta,mammary_stromal,stromal_pooled,HSC,stem_pluri
breast_cancer,long_pre_dx,>10 years before clinical diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_positive_distributed_multi_tile,secretory:breast_secretory,"VAL-046 (Sister Study), VAL-047 Phase 9 d=+1.78 immune, VAL-047 Phase 4 secretory_variance d=-1.226 audit, VAL-049 cross-population, VAL-093 Loyfer 25-tile distributed, VAL-094 BreastRef sub-celltype, VAL-095 UniLIFE 19-cell, VAL-096 dual-cohort | TODO 1.1 / CPG-VAL-001 v0.2 sharpening 2026-05-29 (per-cell-type top-10: Baso d=+1.58/+1.01, Plasma +1.26/+0.81, Microglia +1.30/+0.71, Mela +1.30/+0.72, NeuMa +1.27/+0.73, neurons_pooled +1.20/+0.78, smooth_muscle +1.19/+0.78, breast_BE +1.28/+0.61 TISSUE OF ORIGIN, endothelial +1.27/+0.60) | TODO 1.2 / CPG-VAL-002 (Mahalanobis hyper-volume d=+1.871/+2.088 95% CI [+1.014,+2.856]/[+1.502,+2.735] beats Xu-538 by +0.752 on GSE51032) | TODO 1.3 / CPG-VAL-003 (per-CpG residual map: 1,392 concordant CpGs across cohorts, 1,173 hypomethylated vs 219 hypermethylated 5.4:1, 1,389 NEW candidates not in Xu-538) | TODO 1.5 / CPG-VAL-005 (PC2 T-cell SUPPRESSION axis d=-0.67/-0.58 replicating across cohorts) | CPG-VAL-007 age-axis subtraction confirms signal robustness on this stratum (Mahalanobis +0.255 on GSE51032)",,,,+0.81/+1.26,-0.58/-0.67,-0.58/-0.67,,,,,,+1.26,,+0.0/+0.3,+1.12,+1.01/+1.58,,+0.33,,+0.71/+1.30,,,,,,,,+1.78,,,,,,,,+0.83,,,,,,,+0.78/+1.20,,,,,,+0.73/+1.27,,,,,+0.20,,+0.20,,+0.61/+1.28,,,,+1.02,+0.91,+0.99,,,,,,,,,,,,,,,+0.72/+1.30,,,,,,,+0.72,,,,,,,,,+0.73,,,,,,,,+0.75,,,+0.60/+1.27,,,+0.78/+1.19,,,,,,,,,,,,,,
breast_cancer,mid_pre_dx,5-10 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_positive_attenuating,secretory:breast_secretory,"VAL-047 Phase 9 sec_A_SD d=−0.657, VAL-093/096 dual-cohort persistent multi-tile",,,,,,,,,,,,+0.7/+1.0,,,+0.5/+0.9,,,,,,,,,,,,,+1.0/+1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.05/+0.20,,,,,,+0.7/+1.0,+0.7/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+0.8,,,,,,,,+0.5/+0.7,,,,,,,,,,,,,,,,,,,,
breast_cancer,mid_late_pre_dx,2-5 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_positive_attenuating,secretory:breast_secretory,"VAL-046 Sister Study cohort-level signal, VAL-047 Phase 9, VAL-093/096",,,,,,,,,,,,+0.4/+0.7,,,+0.3/+0.5,,,,,,,,,,,,,+0.6/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.14/+0.16,,,,,,+0.5/+0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breast_cancer,near_dx,within 2 years before diagnosis (Phase 1→Phase 2 transition),whole_blood_buffy_coat,PRE_DIAGNOSTIC,compartment_transition_immune_tiles_sign_flip,secretory:breast_secretory,"VAL-095 UniLIFE aBnv d=+0.44/+0.49, VAL-096 immune-tile sign-flip dual cohort, VAL-093 breast tile localizing",,+0.44/+0.49,,,,,,,,,,+0.3/+0.5,,-0.20/-0.22,,,,-0.35/-0.40,,,,,,,,,,+0.27,,,,,,,,-0.14/-0.08,,,,,,,,,,+0.3/+0.4,,,,,,,,+0.43/+0.49,,+0.43/+0.49,,,+0.61,,,,,,,,,,,,,,,,,,+0.3/+0.5,,,,,,,,,,,,,,,,,,,+0.3/+0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
breast_cancer,at_dx,at clinical diagnosis (blood),whole_blood_buffy_coat,ACTIVE,pooled_positive_at_dx,secretory:breast_secretory,"VAL-060 unpaired d=+0.7453, paired d=+0.6755",,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.7453,,,,,,,,,,,,,,,,,,,,,,,,,,+0.6755,,+0.6755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breast_cancer,long_pre_dx_post_build_v3_0,>10 years before clinical diagnosis (post-build instrument v3.0/v3.1 anchors),whole_blood_buffy_coat,PRE_DIAGNOSTIC,broad_architectural_disturbance_universal_mahalanobis_route_plus_tissue_of_origin_per_cell_route,"secretory:breast_epithelial,immune:basophils,immune:T_cells_PC2_axis","v3.1 POST-BUILD (CPG-VAL-001/002/003/004_restated/005/006_restated/007) — GSE51057 EPIC-Italy n=11 case>10y / 177 HC + GSE51032 EPIC-Italy n=36 case>10y / 424 HC. CPG-VAL-001: per-cell-type fanout, basophil d=+1.58/+1.01, breast_epithelial d=+1.28/+0.61. CPG-VAL-002: universal Mahalanobis d=+1.876/+2.097 (Stage 1 reproduction 2026-06-03 d=+2.088 vs anchor +2.097, within 0.4%). CPG-VAL-003: residual map 1,392 concordant CpGs (CPG_breast_panel_v1 seed, 1,389 NEW vs Xu-538). CPG-VAL-004 RESTATED: 1,096 GAIN bimodality vs 396 loss (2.77:1), 35 double-confirmed. CPG-VAL-005: PC2 T-cell suppression axis d=-0.67/-0.58. CPG-VAL-006 RESTATED: chr6 MHC corrected p=0.103 (lost Bonferroni). CPG-VAL-007: Mahalanobis retained at d=+0.255 post-age-axis-subtraction. Cross-method Walther vs NILC: immune rho=+0.744, progenitor rho=+0.817 on GSE51032. Cellular age finding: cycling-class case mean 76.2y vs HC 81.7y, d=-0.53 (cell-cycle arrest pattern). All L9 N1 nulls PASS at p=0.000 on 5/7; 2 RESTATE. | CPG-VAL-016 (2026-06-06) cross-cohort universal alarm DIRECTIONAL: GSE51057 long_pre_dx A_immune d=+0.69; GSE51032 long_pre_dx A_immune d=+0.22 (hypermethylation direction). Cross-cohort directional reproduction confirms the disease-specific-direction framing in the universal-alarm doctrine (opposite sign to AD's d=-0.36 from same VAL). CPG-VAL-001 expansion: top-10 per-cell-type fanout spans all 8 architecture classes (immune x3, terminal x2, stromal x2, secretory x1, cycling x1, progenitor x1) — Plasma +1.26/+0.81, Microglia +1.30/+0.71, Mela +1.30/+0.72, NeuMa +1.27/+0.73, neurons_pooled +1.20/+0.78, smooth_muscle +1.19/+0.78, endothelial +1.27/+0.60. Distributed cellular-aging-drift pattern confirmed at the per-cell-type level.",,,,+0.81/+1.26,-0.58/-0.67,-0.58/-0.67,,,,,,,,,+0.20/+0.50,+1.01/+1.58,,,,+0.71/+1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.61/+1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breast_cancer,tumor_tissue,TCGA-BRCA paired n=86,tumor_tissue_paired,ACTIVE_TUMOR,pooled_positive_secretory_class,secretory:breast_secretory,VAL-060 TCGA-BRCA paired d=+0.6755 p=0.0001,,,,,+0.5/+1.0,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.6755,,+0.6755,+0.5/+0.8,+0.4/+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colorectal_cancer,long_pre_dx,>10 years before diagnosis (GSE51032 EPIC-Italy),whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_negative_inversion,cycling:colon,GSE51032 colorectal Phase 9 d=−0.80; VAL-047 Phase 12 cross-cohort,,,,,-0.6/-0.8,-0.6/-0.8,,,,,,,,,,,,-0.5/-0.7,,,,,,,,,,-0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colorectal_cancer,mid_pre_dx,5-10 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_negative_inversion,cycling:colon,GSE51032 d=−0.49,,,,,-0.4/-0.6,-0.4/-0.6,,,,,,,,,,,,-0.3/-0.5,,,,,,,,,,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colorectal_cancer,mid_late_pre_dx,2-5 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_negative_inversion,cycling:colon,GSE51032 d=−0.45; VAL-047 Phase 12 d=-0.33,,,,,-0.33/-0.45,-0.33/-0.45,,,,,,,,,,,,-0.3,,,,,,,,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
