id	project	cancer_type	sample_type	arch_class	n_pairs	beta_normal	beta_tumor	H_normal	H_tumor	H_min_class	A_normal	A_tumor	delta_A	p1_confirmed	C1_pct	C2_pct	C3_normal_pct	C3_tumor_pct	g_cancer	g_cancer_type	det_tier_tumor	det_tier_normal	year	data_type	source_citation	notes	gape_version	h_min_version	pipeline_version	prov_hash	first_seen_utc	last_updated_utc
TCGA-LGG-001	TCGA-LGG	Lower grade glioma		terminal	516	0.768	0.45	0.781481	0.992774	0.772837	1.011185	1.284585	0.2734	1	96.8	2.09	1.11	22.15	25.442	finite	RED_BREACH	GREEN_NORMAL	2015	450K_pan_cancer_atlas	Cancer Genome Atlas 2015 NEJM doi:10.1056/NEJMoa1402121		5.0	G-002-posterior-April2026	1.0.0	69e107894b9e1760	2026-04-06T15:04:45.687360	2026-04-07T22:50:53.740670
TCGA-GBM-001	TCGA-GBM	Glioblastoma multiforme		terminal	149	0.76	0.4	0.79504	0.970951	0.772837	1.02873	1.256346	0.227616	1	95.15	2.06	2.79	20.4	8.923	finite	RED_BREACH	YELLOW_MARGINAL	2013	450K_pan_cancer_atlas	Brennan et al. 2013 Cell doi:10.1016/j.cell.2013.09.034		5.0	G-002-posterior-April2026	1.0.0	4889183e980e837f	2026-04-06T15:04:45.687252	2026-04-07T22:50:53.740621
TCGA-BRCA-001	TCGA-BRCA	Breast adenocarcinoma		secretory	90	0.745	0.55	0.819107	0.992774	0.843264	0.971353	1.1773	0.205947	1	92.36	10.59	0.0	15.06		infinite	RED_BREACH	GREEN_NORMAL	2012	450K_pan_cancer_atlas	Cancer Genome Atlas Network 2012 Nature doi:10.1038/nature11412		5.0	G-002-posterior-April2026	1.0.0	743d91ba16cdb449	2026-04-06T15:04:45.685080	2026-04-07T22:50:53.739752
TCGA-OV-001	TCGA-OV	Ovarian serous carcinoma		cycling	67	0.744	0.54	0.82065	0.995378	0.856055	0.958642	1.162751	0.204109	1	92.18	12.13	0.0	14.0		infinite	RED_BREACH	GREEN_NORMAL	2011	450K_pan_cancer_atlas	Cancer Genome Atlas 2011 Nature doi:10.1038/nature10166		5.0	G-002-posterior-April2026	1.0.0	edb625043c2664a1	2026-04-06T15:04:45.687704	2026-04-07T22:50:53.740800
TCGA-ACC-001	TCGA-ACC	Adrenocortical carcinoma		secretory	80	0.742	0.57	0.823713	0.985815	0.843264	0.976815	1.169047	0.192232	1	91.84	10.53	0.0	14.46		infinite	RED_BREACH	GREEN_NORMAL	2016	450K_pan_cancer_atlas	Cancer Genome Atlas 2016 Cell doi:10.1016/j.cell.2016.04.002		5.0	G-002-posterior-April2026	1.0.0	2dec9a0a5cd3852c	2026-04-06T15:04:45.689069	2026-04-07T22:50:53.741246
TCGA-UCEC-001	TCGA-UCEC	Endometrial carcinoma		cycling	118	0.742	0.57	0.823713	0.985815	0.856055	0.96222	1.151579	0.189359	1	91.84	12.09	0.0	13.16		infinite	RED_BREACH	GREEN_NORMAL	2013	450K_pan_cancer_atlas	Cancer Genome Atlas Research Network 2013 Nature doi:10.1038/nature12113		5.0	G-002-posterior-April2026	1.0.0	c21d944a98d4b78e	2026-04-06T15:04:45.688226	2026-04-07T22:50:53.740970
TCGA-PRAD-001	TCGA-PRAD	Prostate adenocarcinoma		secretory	50	0.748	0.595	0.814433	0.9738	0.843264	0.96581	1.154799	0.188989	1	92.89	10.65	0.0	13.4		infinite	RED_BREACH	GREEN_NORMAL	2015	450K_pan_cancer_atlas	Cancer Genome Atlas 2015 Cell doi:10.1016/j.cell.2015.10.025		5.0	G-002-posterior-April2026	1.0.0	bc781fb4afeba357	2026-04-06T15:04:45.687465	2026-04-07T22:50:53.740715
TCGA-LIHC-001	TCGA-LIHC	Hepatocellular carcinoma		secretory	52	0.738	0.565	0.829749	0.987775	0.843264	0.983973	1.171371	0.187398	1	91.17	10.46	0.0	14.63		infinite	RED_BREACH	GREEN_NORMAL	2015	450K_pan_cancer_atlas	Schulze et al. 2015 Nat Genet doi:10.1038/ng.3264		5.0	G-002-posterior-April2026	1.0.0	dcd056369a8ceffc	2026-04-06T15:04:45.687573	2026-04-07T22:50:53.740758
TCGA-COAD-001	TCGA-COAD	Colon adenocarcinoma		cycling	97	0.74	0.58	0.826746	0.981454	0.856055	0.965763	1.146485	0.180722	1	91.5	12.04	0.0	12.78		infinite	RED_BREACH	GREEN_NORMAL	2012	450K_pan_cancer_atlas	Cancer Genome Atlas Network 2012 Nature doi:10.1038/nature11252		5.0	G-002-posterior-April2026	1.0.0	24d844ea0ecb0bb9	2026-04-06T15:04:45.686907	2026-04-07T22:50:53.740503
TCGA-CHOL-001	TCGA-CHOL	Cholangiocarcinoma		secretory	45	0.738	0.58	0.829749	0.981454	0.843264	0.983973	1.163875	0.179902	1	91.17	10.46	0.0	14.08		infinite	RED_BREACH	GREEN_NORMAL	2017	450K_pan_cancer_atlas	Farshidfar et al. 2017 Cell Reports doi:10.1016/j.celrep.2017.02.033		5.0	G-002-posterior-April2026	1.0.0	eb26522f392fbd30	2026-04-06T15:04:45.689452	2026-04-07T22:50:53.741371
TCGA-BLCA-001	TCGA-BLCA	Bladder carcinoma		cycling	131	0.74	0.59	0.826746	0.9765	0.856055	0.965763	1.140698	0.174935	1	91.5	12.04	0.0	12.33		infinite	RED_BREACH	GREEN_NORMAL	2014	450K_pan_cancer_atlas	Cancer Genome Atlas 2014 Nature doi:10.1038/nature12965		5.0	G-002-posterior-April2026	1.0.0	9520f8ec35f8ab1b	2026-04-06T15:04:45.687984	2026-04-07T22:50:53.740881
TCGA-STAD-001	TCGA-STAD	Stomach adenocarcinoma		cycling	75	0.735	0.575	0.834198	0.983708	0.856055	0.974468	1.149118	0.17465	1	90.69	11.93	0.0	12.98		infinite	RED_BREACH	GREEN_NORMAL	2014	450K_pan_cancer_atlas	Cancer Genome Atlas Research Network 2014 Nature doi:10.1038/nature13480		5.0	G-002-posterior-April2026	1.0.0	9f3fa333fc841538	2026-04-06T15:04:45.687879	2026-04-07T22:50:53.740841
TCGA-PAAD-001	TCGA-PAAD	Pancreatic adenocarcinoma		secretory	150	0.735	0.58	0.834198	0.981454	0.843264	0.989249	1.163875	0.174626	1	90.69	10.4	0.0	14.08		infinite	RED_BREACH	GREEN_NORMAL	2017	450K_pan_cancer_atlas	Cancer Genome Atlas 2017 Cancer Cell doi:10.1016/j.ccell.2017.07.007		5.0	G-002-posterior-April2026	1.0.0	140fc1ed371b39de	2026-04-06T15:04:45.689790	2026-04-07T22:50:53.741489
TCGA-CESC-001	TCGA-CESC	Cervical squamous cell		cycling	307	0.738	0.585	0.829749	0.979051	0.856055	0.969271	1.143678	0.174407	1	91.17	12.0	0.0	12.56		infinite	RED_BREACH	GREEN_NORMAL	2017	450K_pan_cancer_atlas	Cancer Genome Atlas 2017 Nature doi:10.1038/nature21386		5.0	G-002-posterior-April2026	1.0.0	f76941e4cbbafa7f	2026-04-06T15:04:45.688632	2026-04-07T22:50:53.741127
TCGA-LUAD-001	TCGA-LUAD	Lung adenocarcinoma		cycling	82	0.742	0.6	0.823713	0.970951	0.856055	0.96222	1.134215	0.171995	1	91.84	12.09	0.0	11.83		infinite	RED_BREACH	GREEN_NORMAL	2014	450K_pan_cancer_atlas	Cancer Genome Atlas Research Network 2014 Nature doi:10.1038/nature13385		5.0	G-002-posterior-April2026	1.0.0	34f1ce08f25f9a62	2026-04-06T15:04:45.687118	2026-04-07T22:50:53.740567
TCGA-HNSC-001	TCGA-HNSC	Head/neck squamous cell		cycling	98	0.738	0.595	0.829749	0.9738	0.856055	0.969271	1.137544	0.168273	1	91.17	12.0	0.0	12.09		infinite	RED_BREACH	GREEN_NORMAL	2015	450K_pan_cancer_atlas	Cancer Genome Atlas 2015 Nature doi:10.1038/nature14129		5.0	G-002-posterior-April2026	1.0.0	d4bf397873bbc412	2026-04-06T15:04:45.688430	2026-04-07T22:50:53.741049
TCGA-UVM-001	TCGA-UVM	Uveal melanoma		stromal	80	0.74	0.615	0.826746	0.961497	0.86295	0.958047	1.114198	0.156151	1	91.5	12.88	0.0	10.25		infinite	RED_BREACH	GREEN_NORMAL	2017	450K_pan_cancer_atlas	Cancer Genome Atlas 2017 Cancer Cell doi:10.1016/j.ccell.2017.09.001		5.0	G-002-posterior-April2026	1.0.0	8c58628f17687173	2026-04-06T15:04:45.689344	2026-04-07T22:50:53.741322
TCGA-MESO-001	TCGA-MESO	Mesothelioma		stromal	87	0.735	0.605	0.834198	0.967951	0.86295	0.966682	1.121676	0.154994	1	90.69	12.76	0.0	10.85		infinite	RED_BREACH	GREEN_NORMAL	2018	450K_pan_cancer_atlas	Cancer Genome Atlas 2018 Nat Genet doi:10.1038/s41588-018-0169-y		5.0	G-002-posterior-April2026	1.0.0	b3029d9b5edb5509	2026-04-06T15:04:45.689210	2026-04-07T22:50:53.741284
TCGA-SKCM-001	TCGA-SKCM	Skin cutaneous melanoma		cycling	477	0.73	0.6	0.841465	0.970951	0.856055	0.982956	1.134215	0.151259	1	89.9	11.83	0.0	11.83		infinite	RED_BREACH	GREEN_NORMAL	2015	450K_pan_cancer_atlas	Cancer Genome Atlas 2015 Cell doi:10.1016/j.cell.2015.05.044		5.0	G-002-posterior-April2026	1.0.0	8a51e219ce5eac4d	2026-04-06T15:04:45.690015	2026-04-07T22:50:53.741565
TCGA-KIRC-001	TCGA-KIRC	Kidney clear cell RCC		cycling	234	0.73	0.61	0.841465	0.9648	0.856055	0.982956	1.12703	0.144074	1	89.9	11.83	0.0	11.27		infinite	RED_BREACH	GREEN_NORMAL	2013	450K_pan_cancer_atlas	Cancer Genome Atlas 2013 Nature doi:10.1038/nature12222		5.0	G-002-posterior-April2026	1.0.0	714468455f73c330	2026-04-06T15:04:45.688093	2026-04-07T22:50:53.740920
TCGA-KIRP-001	TCGA-KIRP	Kidney papillary RCC		cycling	290	0.732	0.615	0.83858	0.961497	0.856055	0.979587	1.123172	0.143585	1	90.21	11.87	0.0	10.97		infinite	RED_BREACH	GREEN_NORMAL	2016	450K_pan_cancer_atlas	Cancer Genome Atlas 2016 NEJM doi:10.1056/NEJMoa1505917		5.0	G-002-posterior-April2026	1.0.0	a0c3432217663f3a	2026-04-06T15:04:45.689894	2026-04-07T22:50:53.741527
TCGA-THCA-001	TCGA-THCA	Thyroid carcinoma		cycling	51	0.748	0.65	0.814433	0.934068	0.856055	0.951379	1.091131	0.139752	1	92.89	12.22	0.0	8.35		infinite	RED_URGENT	GREEN_NORMAL	2014	450K_pan_cancer_atlas	Cancer Genome Atlas Research Network 2014 Cell doi:10.1016/j.cell.2014.09.050		5.0	G-002-posterior-April2026	1.0.0	4bde6ee2c8e7bb49	2026-04-06T15:04:45.688328	2026-04-07T22:50:53.741010
TCGA-THYM-001	TCGA-THYM	Thymoma		immune	124	0.742	0.645	0.823713	0.938454	0.838889	0.98191	1.118687	0.136777	1	91.84	10.0	0.0	10.61		infinite	RED_BREACH	GREEN_NORMAL	2018	450K_pan_cancer_atlas	Cancer Genome Atlas 2018 Cancer Cell doi:10.1016/j.ccell.2018.03.021		5.0	G-002-posterior-April2026	1.0.0	1136171539285a2c	2026-04-06T15:04:45.689561	2026-04-07T22:50:53.741409
TCGA-SARC-001	TCGA-SARC	Sarcoma		stromal	269	0.73	0.62	0.841465	0.958042	0.86295	0.975102	1.110194	0.135092	1	89.9	12.65	0.0	9.93		infinite	RED_BREACH	GREEN_NORMAL	2017	450K_pan_cancer_atlas	Cancer Genome Atlas 2017 Cell doi:10.1016/j.cell.2017.10.014		5.0	G-002-posterior-April2026	1.0.0	0f53bee0ec5b0257	2026-04-06T15:04:45.688914	2026-04-07T22:50:53.741206
TCGA-PCPG-001	TCGA-PCPG	Pheochromocytoma		secretory	187	0.738	0.64	0.829749	0.942683	0.843264	0.983973	1.117898	0.133925	1	91.17	10.46	0.0	10.55		infinite	RED_BREACH	GREEN_NORMAL	2017	450K_pan_cancer_atlas	Cancer Genome Atlas 2017 Cancer Cell doi:10.1016/j.ccell.2017.01.001		5.0	G-002-posterior-April2026	1.0.0	1528969a6b252f7f	2026-04-06T15:04:45.689684	2026-04-07T22:50:53.741448
TCGA-DLBC-001	TCGA-DLBC	Diffuse large B-cell lymphoma		immune	48	0.715	0.595	0.862175	0.9738	0.838889	1.027758	1.160821	0.133063	1	87.74	9.56	2.7	13.85	5.794	finite	RED_BREACH	YELLOW_MARGINAL	2018	450K_pan_cancer_atlas	Chapuy et al. 2018 Nat Med doi:10.1038/s41591-018-0016-8		5.0	G-002-posterior-April2026	1.0.0	a0cfbe5ee7450596	2026-04-06T15:04:45.688771	2026-04-07T22:50:53.741167
TCGA-LAML-001	TCGA-LAML	Acute myeloid leukemia		immune	200	0.72	0.61	0.855451	0.9648	0.838889	1.019743	1.150092	0.130349	1	88.43	9.63	1.94	13.05	7.602	finite	RED_BREACH	GREEN_NORMAL	2013	450K_pan_cancer_atlas	Cancer Genome Atlas 2013 NEJM doi:10.1056/NEJMoa1301689		5.0	G-002-posterior-April2026	1.0.0	fbd3077dbb77f954	2026-04-06T15:04:45.688532	2026-04-07T22:50:53.741089
TCGA-TGCT-001	TCGA-TGCT	Testicular germ cell tumor		stem_pluri	150	0.43	0.25	0.985815	0.811278	0.982166	1.003715	0.826009	-0.177706	0	76.74	22.89	0.37	0.0	0.0	zero	GREEN_NORMAL	GREEN_NORMAL	2018	450K_pan_cancer_atlas	Cancer Genome Atlas 2018 Cell Reports doi:10.1016/j.celrep.2018.02.033	GERMLINE ORIGIN — normal near stem_pluri floor. Architectural special case.	5.0	G-002-posterior-April2026	1.0.0	91562115ef7bafcb	2026-04-06T15:04:45.690130	2026-04-07T22:50:53.741604
LISTER-2009-H1ESC			H1 ESC (pluripotent)	stem_pluri	1	0.42		0.981454		0.982166	0.999275				77.08	22.99	0.0					GREEN_NORMAL	2009	WGBS_reference_normal	Lister et al. 2009 Science doi:10.1126/science.1176344		5.0	G-002-posterior-April2026	1.0.0	a44e87aa3092719a	2026-04-06T15:04:45.690259	2026-04-07T22:50:53.741642
LISTER-2009-IMR90P4			IMR90 fibroblast P4	stromal	1	0.72		0.855451		0.86295	0.99131				88.43	12.44	0.0					GREEN_NORMAL	2009	WGBS_reference_normal	Lister et al. 2009 Science doi:10.1126/science.1176344		5.0	G-002-posterior-April2026	1.0.0	6feea55afeb1b67d	2026-04-06T15:04:45.690374	2026-04-07T22:50:53.741681
LISTER-2013-NEURON			Frontal cortex neuron	terminal	1	0.782		0.756499		0.772837	0.978859				100.0	2.16	0.0					GREEN_NORMAL	2013	WGBS_reference_normal	Lister et al. 2013 Science doi:10.1126/science.1237905		5.0	G-002-posterior-April2026	1.0.0	d28c5e86b945e06d	2026-04-06T15:04:45.690497	2026-04-07T22:50:53.741726
KOZLENKOV-2014-NEURON			Cortical neuron (mature)	terminal	1	0.78		0.760168		0.772837	0.983607				99.52	2.15	0.0					GREEN_NORMAL	2014	WGBS_reference_normal	Kozlenkov et al. 2014 Hum Mol Genet doi:10.1093/hmg/ddt540		5.0	G-002-posterior-April2026	1.0.0	3f10ba2eb6ee7872	2026-04-06T15:04:45.690608	2026-04-07T22:50:53.741772
HANNUM-2013-BLOOD-YOUNG			Peripheral blood age 20-30	immune	50	0.75		0.811278		0.838889	0.967086				93.25	10.16	0.0					GREEN_NORMAL	2013	450K_aging_cohort	Hannum et al. 2013 Mol Cell doi:10.1016/j.molcel.2012.10.016		5.0	G-002-posterior-April2026	1.0.0	b1b908cccb2ffd1f	2026-04-06T15:04:45.690730	2026-04-07T22:50:53.741815
HANNUM-2013-BLOOD-OLD			Peripheral blood age 70+	immune	50	0.68		0.904381		0.838889	1.07807				83.65	9.11	7.24					RED_URGENT	2013	450K_aging_cohort	Hannum et al. 2013 Mol Cell doi:10.1016/j.molcel.2012.10.016		5.0	G-002-posterior-April2026	1.0.0	24f553248414cf5d	2026-04-06T15:04:45.690834	2026-04-07T22:50:53.741864
CRUICKSHANKS-2013-SENESCENT			IMR90 senescent P30+	senescent	3	0.63		0.950672		0.756499	1.256674				79.58	0.0	20.42					RED_BREACH	2013	WGBS_aging_senescence	Cruickshanks et al. 2013 Nat Genet doi:10.1038/ng.2590		5.0	G-002-posterior-April2026	1.0.0	d351640cdf6f20d1	2026-04-06T15:04:45.690926	2026-04-07T22:50:53.741911
ROADMAP-E035-HSC			HSC CD34+ bone marrow	stem_adult	5	0.71		0.868721		0.873718	0.994281				87.08	13.49	0.0					GREEN_NORMAL	2015	450K_roadmap_epigenomics	Roadmap Epigenomics Consortium 2015 Nature doi:10.1038/nature14248		5.0	G-002-posterior-April2026	1.0.0	bc2dcdc84db368ac	2026-04-06T15:04:45.691016	2026-04-07T22:50:53.741945
ROADMAP-E043-CD4T			CD4+ T cell naive	immune	5	0.73		0.841465		0.838889	1.00307				89.9	9.79	0.31					GREEN_NORMAL	2015	450K_roadmap_epigenomics	Roadmap Epigenomics Consortium 2015 Nature doi:10.1038/nature14248		5.0	G-002-posterior-April2026	1.0.0	5274c0cda1dd3f97	2026-04-06T15:04:45.691133	2026-04-07T22:50:53.741979
ROADMAP-E066-HEP			Hepatocyte primary	secretory	5	0.74		0.826746		0.843264	0.980412				91.5	10.49	0.0					GREEN_NORMAL	2015	450K_roadmap_epigenomics	Roadmap Epigenomics Consortium 2015 Nature doi:10.1038/nature14248		5.0	G-002-posterior-April2026	1.0.0	aff2995284be099f	2026-04-06T15:04:45.691235	2026-04-07T22:50:53.742012
ROADMAP-E075-COLON			Colon mucosa normal	cycling	5	0.73		0.841465		0.856055	0.982956				89.9	11.83	0.0					GREEN_NORMAL	2015	450K_roadmap_epigenomics	Roadmap Epigenomics Consortium 2015 Nature doi:10.1038/nature14248		5.0	G-002-posterior-April2026	1.0.0	fbe6898971907e3d	2026-04-06T15:04:45.691323	2026-04-07T22:50:53.742046
