substrate	class	n_cells	bootstrap_mean	bootstrap_std	bootstrap_ci_lower	bootstrap_ci_upper	mcmc_mean	mcmc_std	mcmc_in_bootstrap_ci	abs_difference	rel_difference_pct
nucl	stem_pluri	3	0.799324	0.004339	0.791699	0.809689	0.799818	0.009230	True	0.000494	0.062
nucl	stem_adult	3	0.960513	0.002115	0.956617	0.965442	0.960866	0.011131	True	0.000353	0.037
nucl	progenitor	3	0.972558	0.002146	0.968563	0.977539	0.972790	0.011009	True	0.000232	0.024
nucl	terminal	4	0.999648	0.000209	0.999216	0.999988	0.992027	0.005948	False	0.007621	0.762
nucl	cycling	5	0.980115	0.001270	0.977448	0.982454	0.980072	0.008427	True	0.000043	0.004
nucl	immune	5	0.993187	0.000903	0.991377	0.994873	0.989930	0.006463	False	0.003257	0.328
nucl	secretory	3	0.983936	0.001249	0.980985	0.986219	0.982560	0.009638	True	0.001376	0.140
nucl	stromal	3	0.988603	0.000695	0.987008	0.989933	0.985667	0.008815	False	0.002936	0.297
fuzz	stem_pluri	3	0.962788	0.001739	0.958745	0.966078	0.962920	0.011135	True	0.000132	0.014
fuzz	stem_adult	3	0.981876	0.002032	0.977539	0.986219	0.980754	0.009944	True	0.001122	0.114
fuzz	progenitor	3	0.961693	0.003423	0.953694	0.967951	0.961900	0.011166	True	0.000207	0.022
fuzz	terminal	4	0.736347	0.007778	0.721910	0.750864	0.736973	0.007371	True	0.000626	0.085
fuzz	cycling	5	0.818739	0.003132	0.812499	0.824607	0.819030	0.007359	True	0.000291	0.036
fuzz	immune	4	0.830040	0.004756	0.821395	0.838547	0.830377	0.008299	True	0.000337	0.041
fuzz	secretory	3	0.847479	0.004269	0.838580	0.856810	0.847947	0.009769	True	0.000468	0.055
fuzz	stromal	3	0.832080	0.004584	0.823713	0.842896	0.832386	0.009645	True	0.000306	0.037
wps	stem_pluri	2	0.904353	0.001550	0.902193	0.906543	0.905004	0.012671	True	0.000651	0.072
wps	stem_adult	2	0.999877	0.000079	0.999766	0.999988	0.988964	0.008174	False	0.010913	1.091
wps	progenitor	2	0.997702	0.000736	0.996662	0.998727	0.988046	0.008611	False	0.009656	0.968
wps	terminal	3	0.958572	0.002820	0.952195	0.964151	0.958909	0.011203	True	0.000337	0.035
wps	cycling	5	0.626909	0.006082	0.615232	0.638551	0.627429	0.005649	True	0.000520	0.083
wps	immune	3	0.589390	0.003646	0.581614	0.597185	0.589644	0.006792	True	0.000254	0.043
wps	secretory	2	0.634254	0.003410	0.629503	0.639073	0.634534	0.008996	True	0.000280	0.044
wps	stromal	2	0.612279	0.003551	0.607332	0.617297	0.612686	0.008810	True	0.000407	0.066
frag	stem_pluri	1	0.977539	0.000000	0.977539	0.977539	0.973583	0.015681	False	0.003956	0.405
frag	stem_adult	2	0.840754	0.001538	0.838580	0.842896	0.841327	0.011784	True	0.000573	0.068
frag	progenitor	1	0.808093	0.000000	0.808093	0.808093	0.808978	0.016338	False	0.000885	0.110
frag	terminal	3	0.624481	0.006315	0.612337	0.639073	0.624938	0.007288	True	0.000457	0.073
frag	cycling	4	0.687625	0.003584	0.681137	0.694081	0.687936	0.006878	True	0.000311	0.045
frag	immune	4	0.711312	0.002215	0.707181	0.715874	0.711534	0.007067	True	0.000222	0.031
frag	secretory	2	0.697249	0.001504	0.695153	0.699375	0.697718	0.009890	True	0.000469	0.067
frag	stromal	1	0.723924	0.000000	0.723924	0.723924	0.724691	0.014423	False	0.000767	0.106
