cell_type,architecture_class,beta_mean,source
H1 ESC,stem_pluri,0.42,Lister 2009 Science
H9 ESC,stem_pluri,0.41,Lister 2009 Science
iPSC Yamanaka P3-5,stem_pluri,0.435,Prigione 2010 / Lister 2011
iPSC sendai P10,stem_pluri,0.428,Lister 2011 Nature
HSC CD34+ young,stem_adult,0.71,Roadmap E035
HSC CD34+ old,stem_adult,0.685,Adelman 2019 Cell Stem Cell
Neural stem cell NSC,stem_adult,0.72,Zheng 2016 / Roadmap E007
Intestinal stem LGR5+,stem_adult,0.7,Hata 2020 Nat Genet
Muscle satellite cell,stem_adult,0.715,Bigot 2015 Cell Reports
CMP myeloid progenitor,progenitor,0.72,Roadmap E029
GMP granulocyte prog,progenitor,0.73,Roadmap E030
Neural progenitor NPC,progenitor,0.715,ENCODE / Lister 2013
Erythroid progenitor,progenitor,0.725,Roadmap E034
Cortical neuron mature,terminal,0.78,Kozlenkov 2014 Hum Mol Genet
Frontal cortex neuron,terminal,0.782,Lister 2013 Science
Cerebellum neuron,terminal,0.775,Roadmap E068
Cardiomyocyte adult,terminal,0.768,Movassagh 2011 NEJM
Skeletal muscle type I,terminal,0.76,Roadmap E100
Colon epithelial normal,cycling,0.73,TCGA COAD matched normal / Roadmap E075
Small intestine epith,cycling,0.725,Roadmap E085
Keratinocyte basal,cycling,0.72,Roadmap E058
Bronchial epithelial,cycling,0.728,Roadmap E096 / ENCODE NHBE
Colon epithelial inflam,cycling,0.695,Hahn 2008 IBD methylation
CD4+ T naive,immune,0.73,Roadmap E043
CD8+ T memory,immune,0.74,Roadmap E048
CD4+ T effector,immune,0.7,Roadmap E044
NK cell,immune,0.735,Roadmap E046
B cell naive,immune,0.725,Roadmap E031
Neutrophil,immune,0.76,Roadmap E034
Hepatocyte primary,secretory,0.74,Roadmap E066
Hepatocyte NAFLD,secretory,0.71,Ahrens 2013 Nat Commun
Pancreatic beta cell,secretory,0.735,Volkmar 2012 EMBO J
Acinar cell pancreas,secretory,0.73,Roadmap E098
Fibroblast IMR90 P4,stromal,0.72,Lister 2009 Science
Fibroblast IMR90 P16,stromal,0.695,Cruickshanks 2013 Nat Genet
Aortic endothelial,stromal,0.728,Roadmap E065
Lung fibroblast normal,stromal,0.715,Edelman 2018 / Roadmap E056
