marker_ID,Basal,EC,Fat,Fib,Luminal,Lym,MP
TYROBP,0.0,0.0,0.0,0.0,0.0,0.0,2.3487995349818833
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,2.323117861486277
LYZ,0.0,0.0,0.0,0.0,0.0,0.0,1.8291688739235972
CCL4,0.0,0.0,0.0,0.0,0.0,0.0,1.2541209512014584
CTSS,0.0,0.0,0.0,0.0,0.0,0.7911066875400944,1.8285840309021562
ADIC,0.0,0.0,0.0,0.0,0.0,0.0,1.420394564038321
CD83,0.0,0.0,0.0,0.0,0.0,0.0,1.8278117963073541
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,1.2212070964799502
HEL-S-171mP,0.0,0.0,0.0,0.0,0.0,2.3542869291255344,2.5607443204272884
ADIB,0.0,0.0,0.0,0.0,0.0,0.0,0.9765403263408279
LAPTM5,0.0,0.0,0.0,0.0,0.0,1.5038441062118193,1.8864993317978418
PLEK,0.0,0.0,0.0,0.0,0.0,0.0,1.4623329302019368
LGMN,0.0,0.0,0.0,0.0,0.0,0.0,1.2657188473987175
DMA,0.0,0.0,0.0,0.0,0.0,0.0,1.3120557834332973
MARCKS,0.7429446044814749,0.6934973644100433,0.0,0.980702260489794,0.0,0.0,1.3173146714122783
ALOX5AP,0.0,0.0,0.0,0.0,0.0,0.0,1.1863525284904035
CXCL16,0.7041899838764347,0.0,0.0,0.0,0.5816662426940817,0.0,1.141730932168616
AIF1,0.0,0.0,0.0,0.0,0.0,0.0,1.0259441548854853
ID2,0.0,0.0,0.0,0.7559228486156402,0.5705783052971911,0.0,1.4331357030494958
LY86,0.0,0.0,0.0,0.0,0.0,0.0,0.996844234815198
CD14,0.0,0.0,0.0,0.0,0.5124576001568806,0.0,0.8564379934241548
GM2A,0.0,0.0,0.0,0.0,0.4397986618131192,0.0,1.2300457850172002
LSP1,0.0,0.0,0.0,0.7247559310649216,0.0,0.9628578495556406,1.3315025984420554
CFP,0.0,0.0,0.0,0.0,0.0,0.0,0.8681948005616917
EMP3,0.0,0.0,0.0,1.1424246821596777,0.0,0.0,1.2860476361458795
GRN,0.0,0.0,0.0,0.618477082739298,0.25294724603653673,0.0,1.0461526765363462
SYNGR2,0.0,0.0,0.0,0.0,0.6731169272436881,0.0,1.1572937805418242
RGS1,0.0,0.0,0.0,0.0,0.0,0.0,0.6673065097263313
CSF1R,0.0,0.0,0.0,0.0,0.0,0.0,0.4140676588539309
RILPL2,0.0,0.0,0.0,0.0,0.0,0.0,0.9842409975913686
VAMP8,0.7680392938242286,0.0,0.0,0.0,1.1404876591512072,0.0,1.2017064731680605
KCTD12,0.0,0.8590490586202406,0.0,0.0,0.0,0.0,1.0435251165363653
CYBB,0.0,0.0,0.0,0.0,0.0,0.0,0.6890978699172734
CCL15,0.0,0.0,0.0,0.0,0.0,0.0,0.6703728924361221
HEXA,0.0,0.0,0.0,0.7229579695697124,0.0,0.0,0.8762432817124602
PRCP,0.0,0.5266160046674159,0.0,0.0,0.0,0.0,0.8534811435604285
LST1,0.0,0.0,0.0,0.0,0.0,0.0,0.5517005077011738
CTSC,0.0,0.0,0.0,0.0,0.0,0.0,0.7149790294596468
ATP2B1,0.7947848102496163,0.6148618959741222,0.0,0.0,0.8778869295693871,0.0,1.0125882469124363
GNG10,0.0,0.0,0.0,0.6485099604999744,0.0,0.0,0.8434831374782521
TALDO1,0.5339811877983982,0.0,0.0,0.0,0.9524695802771337,0.0,0.9998731245494974
CTSH,0.0,0.0,0.0,0.6979843976949021,0.9328967026896298,0.0,1.2594891210011236
ETV3,0.0,0.0,0.0,0.0,0.0,0.0,0.5521180893944071
MACROH2A1,0.6639113636727838,0.8125307621352865,0.0,0.0,0.7578982641385337,0.0,1.0252493726758614
PIM1,0.0,0.914554256481976,0.0,0.9541167001508806,0.0,1.0817027233555665,1.2455893689400162
IRF8,0.0,0.44416664321474364,0.0,0.0,0.0,0.0,0.5313155490605186
IRF2BP2,0.5467751438870245,0.0,0.0,0.0,0.2657041802296556,0.0,0.7372689687200906
PLD4,0.0,0.0,0.0,0.0,0.0,0.0,0.860426308603762
FAM49B,0.596879332989046,0.0,0.0,0.0,0.3352651946381374,1.013306295205318,1.0820007351299612
HCLS1,0.0,0.0,0.0,0.0,0.0,0.0,0.7924938003760282
SNX5,0.0,0.0,0.0,0.0,0.2713546018676422,0.6759994493991669,1.0468627756600701
HEL-S-107,0.5643443380873449,0.0,0.0,0.6575512266382533,0.6634311450955445,0.0,0.9380816830234202
HLA-DMB,0.0,0.0,0.0,0.0,0.0,0.0,0.7135856339952655
SEC11C,0.3348728973126652,0.0,0.0,0.0,0.6855839323662665,0.0,0.8575811216745376
BCL2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.3809445645666686
RGS10,0.0,0.0,0.0,0.0,0.0,0.9049818100229794,1.141200053061972
TNFRSF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.5590382863383407
TGFB1,0.0,0.909032683473175,0.0,0.0,0.1873643212622299,0.0,0.9434377939267584
CD44,0.9482915528650016,0.0,0.0,1.0478577161410778,0.6347780812302797,0.0,1.193323614214116
GRB2,0.5284721346741104,0.3683000477433433,0.0,0.0,0.4916682445298861,0.0,1.0647726288076627
CENPA,0.0,0.0,0.0,0.0,0.0,0.0,0.5512095769194638
ACTR2,0.0,0.5791718088701505,0.0,0.0,0.6052942063015054,0.0,0.8895035600041542
RAB8B,0.0,0.0,0.0,0.0,0.0,0.0,0.657877880664568
ATP6AP2,0.4831284749411883,0.5826422762554263,0.0,0.0,0.4451213312893717,0.0,0.8592256434184328
ASAH1,0.0,0.0,0.0,0.0,0.0,0.0,0.4408202330850053
GLTP,0.0,0.0,0.0,0.0,0.0,0.0,0.7878967224676968
PLBD1,0.0,0.0,0.0,0.0,0.0,0.0,0.7683696369980674
ATP6V1A,0.0,0.0,0.0,0.0,0.0,0.0,0.38174066736529644
RGS2,0.0,0.0,0.0,0.0,0.0,0.0,0.834002155495424
CCDC12,0.0,0.0,0.0,0.6127877494281873,0.716661842233022,0.0,0.8045766150273139
MPEG1,0.0,0.0,0.0,0.0,0.0,0.0,0.429544143190343
SCAND1,0.5480835582791606,0.0,0.0,0.4306698959698793,0.7765616605248336,0.0,1.036851324519763
