marker_ID,CM,EC,FB,MP,SMC
PIK3C2A,0.0,2.8566818248308268,1.8891000896750456,0.0,0.0
CD74,0.0,8.29369209251003,0.0,7.432398243266889,0.0
TMSB10,0.0,8.925530901346374,7.889118395899695,7.66575035813492,0.0
SYNE2,5.123340559127806,6.326311292022153,0.0,0.0,0.0
HYAL2,0.0,2.1123843083931266,0.0,0.0,0.0
ADGRF5,0.0,4.4765301715883945,0.0,0.0,2.192312329190582
CD59,5.601430043026495,6.644176185899618,0.0,0.0,0.0
ITGA6,0.0,3.431962489111745,0.0,0.0,0.0
FMO2,0.0,2.8766163110873113,4.07581532142584,0.0,0.0
FLT1,0.0,4.399636485302584,0.0,0.0,0.0
RGCC,0.0,3.971109368823936,0.0,0.0,0.0
CTSH,0.0,2.162275268412725,0.0,2.0362465876761218,0.0
NDRG1,0.0,2.6209858676953357,2.492698330888987,0.0,0.0
CAV1,0.0,7.245320263369673,0.0,0.0,5.9325642754615195
NPDC1,0.0,2.669533656357705,1.4346611976330679,0.0,0.0
TSPAN14,0.0,2.016504270560199,0.0,0.0,1.2640315815600818
NEDD9,0.0,2.79699040815278,1.8843731415218943,0.0,0.0
LIFR,0.0,2.713805490766782,0.0,0.0,0.0
NKTR,0.0,3.7780566538236213,2.829755819189563,0.0,0.0
SPTBN1,0.0,6.81725936060289,6.830616457264714,0.0,0.0
CLU,0.0,4.631574875928868,4.584781261588351,0.0,3.615462342672971
TNFSF10,0.0,2.3659644474703345,1.1921799935134085,0.0,0.0
RAMP3,0.0,2.752050131450764,0.0,0.0,0.0
SRGN,0.0,2.8491077229617052,0.0,4.363046582289687,0.0
CD93,0.0,2.8795840975428115,0.0,1.3915977085946298,0.0
ID1,0.0,4.008325126618565,0.0,0.0,2.1385220419958255
MCF2L,0.0,3.7459043598563326,0.0,0.0,3.0159354600680106
PTPRB,0.0,3.445707069765115,0.0,0.0,0.0
KDR,0.0,2.4055323111501195,0.0,0.0,0.0
PODXL,0.0,3.5368282321998152,0.0,0.0,0.0
ADCY4,0.0,2.0351817179437406,0.0,0.0,0.0
SEC14L1,0.0,3.2419640594551047,0.0,0.0,0.0
BST2,0.0,3.112553535022666,0.0,1.69681167907531,0.0
TNNT3,0.0,2.494836066165228,1.3416084823103185,0.0,0.0
