marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal
DCN,0.0,0.0,0.0,0.0,0.0,0.0,3.769082035310093
MFAP4,0.0,0.0,0.0,0.0,0.0,0.0,3.2154262789910657
IGFBP7,2.181034166487125,0.0,0.0,0.0,0.0,0.0,3.7900549450188423
CTGF,0.0,0.0,0.0,0.0,0.0,0.0,3.0774935228
LUM,0.0,0.0,0.0,0.0,0.0,0.0,2.739694802760688
SPARCL1,2.092092728594663,0.0,0.0,0.0,0.0,0.0,2.8428021129578314
MGP,1.5804787553261006,0.0,0.0,0.0,0.0,0.0,3.040009848275231
CALD1,1.443924966800652,0.0,0.0,0.0,0.0,0.0,2.730933196545607
RARRES2,0.0,0.0,0.0,0.0,0.0,0.0,2.547949968648906
CYR61,0.0,0.0,0.0,0.0,0.0,0.0,2.805052905993226
TAGLN,0.0,0.0,0.0,0.0,0.2683001906042774,0.0,2.283460649775965
COL6A2,0.0,0.0,0.0,0.0,0.0,0.0,2.499235529103865
A2M,1.7945775879592603,0.0,0.0,0.0,0.0,0.0,2.6605230970295635
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0,1.932993586064968
COL1A2,0.0,0.0,0.0,0.0,0.0,0.0,2.4197704255203094
MYL9,0.0,0.5020509867388241,0.0,0.0,0.0,0.0,2.403825406042143
SOD3,0.0,0.0,0.0,0.0,0.0,0.0,2.450420473716831
TPM2,0.0,0.0,0.0,0.0,0.0,0.0,2.038623026334112
BGN,0.0,0.0,0.0,0.0,0.0,0.0,2.1516208205361953
GPX3,0.0,0.0,0.0,0.0,0.0,0.0,2.3848167062939054
PPP1R14A,0.0,0.0,0.0,0.0,0.0,0.0,2.2126612760573625
FHL1,0.0,0.0,0.0,0.0,0.9206629276975415,0.0,2.4692627056942063
TIMP3,2.21702274930706,0.0,1.0788756657942502,0.0,0.0,0.0,2.4027579130630845
PMP22,0.0,0.0,0.0,0.0,0.0,0.0,2.2070625549506873
ADH1B,0.0,0.0,0.0,0.0,0.0,0.0,2.055065846190645
FBLN1,0.0,0.0,0.0,0.0,0.0,0.0,1.6037026728803543
SPARC,2.2278464000124747,0.0,0.0,0.0,0.0,0.0,2.284252284455756
PLAC9,0.0,0.0,0.0,0.0,0.0,0.0,1.9519342636586943
C1S,0.0,0.0,0.0,0.0,0.0,0.0,1.8924174830514846
SERPING1,0.0,0.5309662208843502,0.0,0.0,2.416045842302188,0.0,2.529509018549033
