class,age_midpoint,A_mean,A_sd,beta_mean,beta_sd,n_samples,A_p10,A_p25,A_p50,A_p75,A_p90,source_citation
immune,4,0.90616,0.03265,0.78,0.015,45,0.86437,0.88412,0.90616,0.9282,0.94795,Alisch 2012
immune,14,0.92115,0.03372,0.773,0.016,58,0.878,0.89839,0.92115,0.94391,0.96431,Alisch+Hannum
immune,24,0.93157,0.035,0.768,0.017,95,0.88677,0.90794,0.93157,0.95519,0.97636,Hannum 2013
immune,34,0.93972,0.03636,0.764,0.018,102,0.89318,0.91518,0.93972,0.96427,0.98627,Hannum 2013
immune,44,0.94773,0.03568,0.76,0.018,115,0.90206,0.92364,0.94773,0.97182,0.9934,Hannum 2013
immune,54,0.95558,0.03695,0.756,0.019,108,0.90829,0.93064,0.95558,0.98053,1.00288,Hannum 2013
immune,64,0.96519,0.03797,0.751,0.02,98,0.91659,0.93956,0.96519,0.99082,1.0138,Hannum+Horvath
immune,74,0.97642,0.03872,0.745,0.021,85,0.92686,0.95028,0.97642,1.00255,1.02598,Hannum 2013
immune,84,0.98732,0.03938,0.739,0.022,42,0.93692,0.96074,0.98732,1.0139,1.03772,Hannum 2013
immune,95,0.99963,0.04147,0.732,0.024,15,0.94655,0.97164,0.99963,1.02763,1.05272,Hannum oldest-old
cycling,4,0.93832,0.02466,0.755,0.013,20,0.90676,0.92168,0.93832,0.95497,0.96989,Roadmap pediatric
cycling,14,0.94584,0.02605,0.751,0.014,25,0.9125,0.92826,0.94584,0.96342,0.97918,Alisch+Roadmap
cycling,24,0.95138,0.0275,0.748,0.015,38,0.91617,0.93281,0.95138,0.96994,0.98658,Moss+Roadmap
cycling,34,0.95684,0.02891,0.745,0.016,45,0.91984,0.93733,0.95684,0.97635,0.99384,Moss 2018
cycling,44,0.96044,0.02863,0.743,0.016,52,0.92379,0.94111,0.96044,0.97976,0.99708,Moss+TCGA
cycling,54,0.964,0.03012,0.741,0.017,68,0.92545,0.94367,0.964,0.98432,1.00254,Moss 2018
cycling,64,0.96927,0.03142,0.738,0.018,78,0.92906,0.94807,0.96927,0.99048,1.00948,TCGA STN older
cycling,74,0.97618,0.0325,0.734,0.019,65,0.93458,0.95424,0.97618,0.99812,1.01778,TCGA STN elderly
cycling,84,0.98296,0.03352,0.73,0.02,32,0.94005,0.96033,0.98296,1.00559,1.02587,Extrapolated
cycling,95,0.99123,0.03594,0.725,0.022,8,0.94523,0.96697,0.99123,1.01549,1.03724,Extrapolated
secretory,4,0.95063,0.02322,0.756,0.012,15,0.92091,0.93496,0.95063,0.9663,0.98034,Roadmap pediatric
secretory,14,0.95829,0.02467,0.752,0.013,18,0.92671,0.94164,0.95829,0.97495,0.98987,Roadmap
secretory,24,0.96394,0.02619,0.749,0.014,28,0.93043,0.94627,0.96394,0.98162,0.99746,Moss hepatocyte
secretory,34,0.96951,0.02765,0.746,0.015,35,0.93412,0.95085,0.96951,0.98818,1.0049,Moss 2018
