"","CM","EC","FB","MP","SMC","weight"
"972",0.240379543582073,0,0.240379543582073,0,0.240379543582073,0.240379543582073
"8743",0.167039519573651,0,0,0.167039519573651,0.167039519573651,0.167039519573651
"5552",0.695646541345311,0,0.695646541345311,0,0.695646541345311,0.695646541345311
"22918",0.60154419233245,0,0.60154419233245,0,0.60154419233245,0.60154419233245
"684",0.47955696369916,0,0.47955696369916,0,0.47955696369916,0.47955696369916
"7140",0.655702489902919,0,0,0.655702489902919,0.655702489902919,0.655702489902919
"306",0.534649018333058,0,0.534649018333058,0.534649018333058,0.534649018333058,0.534649018333058
"64129",0.163213837525018,0,0.163213837525018,0.163213837525018,0,0.163213837525018
"92162",0.626673482251634,0,0.626673482251634,0.626673482251634,0.626673482251634,0.626673482251634
"11170",0.905214695513139,0,0.905214695513139,0.905214695513139,0.905214695513139,0.905214695513139
"10791",0.182380952380952,0,0,0.182380952380952,0.182380952380952,0.182380952380952
"161198",0.781679856066168,0,0.781679856066168,0.781679856066168,0.781679856066168,0.781679856066168
"168537",0.750433101951523,0,0.750433101951523,0,0.750433101951523,0.750433101951523
"7122",0.897009500576304,0,0.897009500576304,0.897009500576304,0.897009500576304,0.897009500576304
"3122",0.203312958295465,0,0.203312958295465,0,0.203312958295465,0.203312958295465
"3113",0.196886199748856,0,0.196886199748856,0,0.196886199748856,0.196886199748856
"11185",0.76204536027788,0,0,0.76204536027788,0.76204536027788,0.76204536027788
"7035",0.836233760877622,0,0,0.836233760877622,0,0.836233760877622
"9689",0.073503726694117,0.073503726694117,0,0,0.073503726694117,0.073503726694117
"3956",0.164863335581872,0.164863335581872,0,0.164863335581872,0,0.164863335581872
"152503",0,0.496064956869516,0,0.496064956869516,0.496064956869516,0.496064956869516
"4256",0.775582759918972,0,0,0.775582759918972,0.775582759918972,0.775582759918972
"6678",0.0466331204150219,0,0,0.0466331204150219,0,0.0466331204150219
"5159",0.302507045788869,0.302507045788869,0,0.302507045788869,0,0.302507045788869
"55268",0,0.0339366723793389,0,0.0339366723793389,0.0339366723793389,0.0339366723793389
"9590",0.657661735620164,0.657661735620164,0,0.657661735620164,0,0.657661735620164
"2752",0,0.724997023758654,0,0,0.724997023758654,0.724997023758654
"83442",0.246627095981925,0.246627095981925,0,0,0.246627095981925,0.246627095981925
"4921",0.867639607128062,0.867639607128062,0,0.867639607128062,0.867639607128062,0.867639607128062
"1281",0.652538817944741,0.652538817944741,0,0.652538817944741,0,0.652538817944741
"26471",0.771040438481278,0.771040438481278,0,0.771040438481278,0,0.771040438481278
"219348",0.251013713464698,0.251013713464698,0,0.251013713464698,0,0.251013713464698
"2217",0.471583241837932,0.471583241837932,0,0,0.471583241837932,0.471583241837932
"3115",0.37525694306936,0,0.37525694306936,0,0.37525694306936,0.37525694306936
"397",0.94,0.94,0.94,0,0.94,0.94
"7534",0.488836927599688,0.488836927599688,0.488836927599688,0,0.488836927599688,0.488836927599688
"1675",0.596842192132103,0.596842192132103,0,0.596842192132103,0.596842192132103,0.596842192132103
"5176",0.741997113633458,0.741997113633458,0,0.741997113633458,0.741997113633458,0.741997113633458
"10351",0.729782013004056,0.729782013004056,0,0.729782013004056,0.729782013004056,0.729782013004056
"3075",0.717303573448525,0.717303573448525,0,0.717303573448525,0.717303573448525,0.717303573448525
"718",0.583568982023649,0.583568982023649,0,0.583568982023649,0.583568982023649,0.583568982023649
"1293",0.782593082650716,0.782593082650716,0,0.782593082650716,0.782593082650716,0.782593082650716
"2200",0.339991944480098,0.339991944480098,0,0.339991944480098,0.339991944480098,0.339991944480098
"11167",0.460958636671629,0.460958636671629,0,0.460958636671629,0.460958636671629,0.460958636671629
"3912",0.0095609256426193,0.0095609256426193,0,0.0095609256426193,0.0095609256426193,0.0095609256426193
"2012",0.52,0.52,0,0.52,0.52,0.52
"1292",0.140894922974602,0.140894922974602,0,0.140894922974602,0.140894922974602,0.140894922974602
"5376",0.608660921436844,0.608660921436844,0,0.608660921436844,0.608660921436844,0.608660921436844
"3429",0.579216645364707,0,0,0.579216645364707,0.579216645364707,0.579216645364707
"358",0.557120275326885,0,0.557120275326885,0.557120275326885,0,0.557120275326885
"4071",0.78,0,0.78,0.78,0.78,0.78
