marker_ID,EC,Epi,Lym,Mye,Stromal
DCN,0.0,0.0,0.0,0.0,4.380442556931646
CFD,0.0,0.0,0.0,0.0,4.118775387691886
GPX3,0.0,0.0,0.0,0.0,3.086798716020391
ADH1B,0.0,0.0,0.0,0.0,3.141399599069782
MGP,0.0,0.0,0.0,0.0,3.178983401706082
C1S,0.0,0.0,0.0,0.0,2.811917770690516
FBLN1,0.0,0.0,0.0,0.0,2.7239673390298984
SERPING1,0.0,0.0,0.0,0.0,2.7061856022102746
IGFBP6,0.0,0.0,0.0,0.0,2.3885565607505894
C1R,0.0,0.0,0.0,0.0,2.4143404496425798
COL6A2,0.0,0.0,0.0,0.0,2.312290653413359
SOD3,0.0,0.0,0.0,0.0,2.3035938019059907
MFAP4,0.0,0.0,0.0,0.0,2.2239064948401466
SERPINF1,0.0,0.0,0.0,0.0,2.256332219800256
LUM,0.0,0.0,0.0,0.0,2.1427412786123297
IGFBP5,0.0,0.0,0.0,0.0,1.9940304133782205
MFGE8,0.0,0.0,0.0,0.0,2.026088527641819
COL1A2,0.0,0.0,0.0,0.0,1.8550924598399767
PLPP3,0.0,0.0,0.0,0.0,1.9800592747995989
LTBP4,0.0,0.0,0.0,0.0,2.007733631606839
C3,0.0,0.0,0.0,0.0,1.7216012464006236
MMP2,0.0,0.0,0.0,0.0,1.7931846031387182
SELENOM,0.0,0.0,0.0,0.0,2.0160088253733703
COL6A1,0.0,0.0,0.0,0.0,1.7358924682064951
EFEMP1,0.0,0.0,0.0,0.0,1.7857777601768423
MYL9,0.0,0.0,0.0,0.0,1.4320852082259559
FN1,0.0,0.0,0.0,0.0,1.536789746042916
FSTL1,0.0,0.0,0.0,0.0,1.6214938001171812
SPARC,0.0,0.0,0.0,0.0,1.6239953874676598
AEBP1,0.0,0.0,0.0,0.0,1.598777070890401
RARRES2,0.0,0.0,0.0,0.0,1.927453859699748
CRISPLD2,0.0,0.0,0.0,0.0,1.479357291214304
FHL1,0.0,0.0,0.0,0.0,1.4898047629088826
TNXB,0.0,0.0,0.0,0.0,1.2070438001116577
PRELP,0.0,0.0,0.0,0.0,1.2531204847549346
MT1X,0.0,0.0,0.0,0.0,1.689210917487005
PLAC9,0.0,0.0,0.0,0.0,1.4719391632268624
TFPI,0.0,0.0,0.0,0.0,1.5770426680029743
CTSK,0.0,0.0,0.0,0.0,1.2678767961877269
PMP22,0.0,0.0,0.0,0.0,1.4974820969190281
COL3A1,0.0,0.0,0.0,0.0,0.9350232904450742
COL1A1,0.0,0.0,0.0,0.0,1.1439347034912553
FBN1,0.0,0.0,0.0,0.0,1.1174303871293572
CFH,0.0,0.0,0.0,0.0,1.1617091334396612
COL14A1,0.0,0.0,0.0,0.0,1.1105874985994364
GPNMB,0.0,0.0,0.0,0.0,1.174225881858354
COL6A3,0.0,0.0,0.0,0.0,1.342461280671831
TIMP2,0.0,0.0,0.0,0.0,1.2756361926619686
TMEM176B,0.0,0.0,0.0,0.0,1.5968125276056027
SCARA5,0.0,0.0,0.0,0.0,1.061633787119019
LRP1,0.0,0.0,0.0,0.0,1.3084222713043328
S100A13,0.0,0.0,0.0,0.0,1.48342697872509
SELENOP,0.0,0.0,0.0,0.0,1.4080190922460754
CCDC80,0.0,0.0,0.0,0.0,0.9869114077412755
ADAMTS1,0.0,0.0,0.0,0.0,0.9661263490931598
SDC2,0.0,0.0,0.0,0.0,1.1674723198068242
MEG3,0.0,0.0,0.0,0.0,0.9369767819560609
NID1,0.0,0.0,0.0,0.0,1.1031330449412886
CYBRD1,0.0,0.0,0.0,0.0,1.1589260833614123
CXCL12,0.0,0.0,0.0,0.0,0.9244435652471581
PDK4,0.0,0.0,0.0,0.0,1.0255931129225224
TGFBR3,0.0,0.0,0.0,0.0,0.9602227678404744
ZFAND5,0.0,0.0,0.0,0.0,1.4632676986734579
LAMC1,0.0,0.0,0.0,0.0,1.0691490021661276
FBLN5,0.0,0.0,0.0,0.0,0.9184329828437956
DST,0.0,0.0,0.0,0.0,1.193539268848408
UAP1,0.0,0.0,0.0,0.0,1.0185328901687067
ARID5B,0.0,0.0,0.0,0.0,1.3569527371253804
ZBTB16,0.0,0.0,0.0,0.0,0.9637094877252026
LGALS3BP,0.0,0.0,0.0,0.0,1.3673236624476905
NFIC,0.0,0.0,0.0,0.0,1.1310330558822095
CTSL,0.0,0.0,0.0,0.0,0.8803867983860305
TMEM176A,0.0,0.0,0.0,0.0,1.1646669447745366
FXYD1,0.0,0.0,0.0,0.0,0.7770057925763942
SOD2,0.0,0.0,0.0,0.0,0.8998016006149392
NFIA,0.0,0.0,0.0,0.0,0.9691073389381122
CYB5R3,0.0,0.0,0.0,0.0,1.0340445967845002
LPP,0.0,0.0,0.0,0.0,0.5186521088635969
LAMP1,0.0,0.0,0.0,0.0,1.0731435453756903
RNH1,0.0,0.0,0.0,0.0,1.0429529465275673
ZBTB20,0.0,0.0,0.0,0.0,0.5053543017201054
REXO2,0.0,0.0,0.0,0.0,0.9023615252853072
SBDS,0.0,0.0,0.0,0.0,1.0997219403431013
LEPROT,0.0,0.0,0.0,0.0,0.4556469706268931
ADH5,0.0,0.0,0.0,0.0,0.9985384313915413
BEX3,0.0,0.0,0.0,0.0,0.7115768045149475
LITAF,0.0,0.0,0.0,0.0,1.0770213114768277
PRDX6,0.0,0.0,0.0,0.0,1.3013229916572986
STAT3,0.0,0.0,0.0,0.0,0.6987537979079317
ATRAID,0.0,0.0,0.0,0.0,0.7624757325076973
NENF,0.0,0.0,0.0,0.0,0.39673949379478035
ESD,0.0,0.0,0.0,0.0,0.24999924478037605
H2AFJ,0.0,0.0,0.0,0.0,0.7056786882641886
BZW1,0.0,0.0,0.0,0.0,0.6614349680216899
YWHAQ,0.0,0.0,0.0,0.0,0.8662524633580966
HNRNPA0,0.0,0.0,0.0,0.0,0.9292337893904782
SRSF11,0.0,0.0,0.0,0.0,0.901403591375632
ERH,0.0,0.0,0.0,0.0,1.0659144677623353
RAB2A,0.0,0.0,0.0,0.0,0.685621590454137
SEM1,0.0,0.0,0.0,0.0,0.9604620501060862
ARL6IP4,0.0,0.0,0.0,0.0,0.725940667593634
TBCA,0.0,0.0,0.0,0.0,0.5616798289796316
HLA-DRA,0.0,0.0,0.0,3.8420082407193554,0.0
TYROBP,0.0,0.0,0.0,3.0691124248198505,0.0
LYZ,0.0,0.0,0.0,2.789627059579942,0.0
FCER1G,0.0,0.0,0.0,2.712354099961389,0.0
HLA-DPA1,0.0,0.0,0.0,3.1394563888017544,0.0
HLA-DPB1,0.0,0.0,0.0,2.9639272665134695,0.0
