marker_ID,Chol,EC,Hep,Kup,Lym
NKG7,0.0,0.0,0.0,0.0,2.7239992438017486
CCL5,0.0,0.0,0.0,0.0,2.5479729446984423
KLRB1,0.0,0.0,0.0,0.0,1.359139551630228
IGKC,0.0,0.0,0.0,0.0,0.9959710020183553
HCST,0.0,0.0,0.0,0.5431547887677382,1.9948825494625333
CXCR4,0.0,0.0,0.0,0.0,1.7735243723385055
CCL4,0.0,0.0,0.0,0.0,1.5645356121654603
CORO1A,0.0,0.0,0.0,0.29504307868787005,1.9167262819181536
GZMA,0.0,0.0,0.0,0.0,1.570780470941054
CD7,0.0,0.0,0.0,0.0,0.966421278135621
IL32,0.38682200531071737,0.0,0.0,0.0,0.9898631077915541
CST7,0.0,0.0,0.0,0.0,0.9325346577838758
RAC2,0.0,0.0,0.0,0.0,1.2126616672951478
ISG20,0.0,0.0,0.0,0.0,1.011355706186487
CD48,0.0,0.0,0.0,0.0,0.6544116794056398
SSR2,0.5385013285096438,0.0,0.0,0.0,1.2897825181275966
PTPRC,0.0,0.0,0.0,0.5989507574760499,0.813452820794307
CD53,0.0,0.0,0.0,0.4896462586798705,0.7679071098495172
EIF3G,0.19903820048076235,0.0,0.0,0.0,0.8245320310371433
HMGN1,0.5385013285096438,0.0,0.0,0.0,0.6758728525582263
HNRNPC,0.33758493716796967,0.0,0.0,0.0,0.5154119558127583
TYROBP,0.0,0.0,0.0,3.7608681521985945,0.0
C1QA,0.0,0.0,0.0,3.8561947793449862,0.0
S100A9,0.0,0.0,0.0,2.745474515808545,0.0
HLA-DRA,0.0,0.0,0.0,3.448079794189086,0.0
C1QB,0.0,0.0,0.0,3.5549351896132464,0.0
AIF1,0.0,0.0,0.0,2.9120694688778537,0.0
CTSS,0.0,0.0,0.0,2.996291025909399,0.0
LYZ,0.0,0.0,0.0,2.6229915418234575,0.0
FCER1G,0.0,0.0,0.0,2.7707938050559684,0.0
CD163,0.0,0.0,0.0,2.5123363330646447,0.0
S100A8,0.0,0.0,0.0,1.0630112195495394,0.0
MS4A6A,0.0,0.0,0.0,2.409192881286714,0.0
LST1,0.0,0.0,0.0,2.2370658722666166,0.0
C1QC,0.0,0.0,0.0,2.405218937967472,0.0
HLA-DPB1,0.0,0.0,0.0,2.1598500124048483,0.0
HLA-DPA1,0.0,0.0,0.0,1.9758889209385402,0.0
HLA-DRB1,0.0,0.0,0.0,2.0288381544221843,0.0
COTL1,0.0,0.0,0.0,1.9219248753603393,0.0
C1orf162,0.0,0.0,0.0,1.7062840313865126,0.0
MS4A7,0.0,0.0,0.0,1.5192136198152721,0.0
MAFB,0.0,0.0,0.0,1.4365479508433,0.0
RP11-1143G9.4,0.0,0.0,0.0,0.5031395469735633,0.0
CD68,0.0,0.0,0.0,1.345752419031161,0.0
HMOX1,0.0,0.0,0.0,0.8708054270494903,0.0
VSIG4,0.0,0.0,0.0,0.9984358192024635,0.0
RNASE6,0.0,0.0,0.0,1.1573996598019143,0.0
HCLS1,0.0,0.0,0.0,1.369548099861463,0.0
FCGR3A,0.0,0.0,0.0,1.0015908034640035,0.0
LIPA,0.0,0.0,0.0,0.9578149483505811,0.0
CSTA,0.0,0.0,0.0,0.8575563546701164,0.0
FGL2,0.0,0.0,0.0,1.044749012972958,0.0
ASAH1,0.0,0.0,0.0,1.1888303180555966,0.0
PYCARD,0.0,0.0,0.0,1.1335668189147443,0.0
LY96,0.0,0.0,0.0,0.8716032259993479,0.0
MPEG1,0.0,0.0,0.0,0.8801947243187285,0.0
CFD,0.0,0.0,0.0,0.7119655142646139,0.0
TKT,0.0,0.0,0.0,1.2287395400693195,0.0
RBP7,0.0,0.0,0.0,0.5756003749193448,0.0
CYBB,0.0,0.0,0.0,0.8431472899792598,0.0
CLEC7A,0.0,0.0,0.0,0.786209305901186,0.0
SPI1,0.0,0.0,0.0,0.786065364621701,0.0
EVI2B,0.0,0.0,0.0,0.9681418313393987,0.0
CREG1,0.0,0.0,0.0,0.7809611047811336,0.0
ZEB2,0.0,0.0,0.0,0.9144709873294872,0.0
SLC7A7,0.0,0.0,0.0,0.6815835016350396,0.0
RNASET2,0.0,0.0,0.0,0.787805127228107,0.0
ANXA1,0.0,0.0,0.0,0.6878617003789209,0.0
H2AFY,0.0,0.0,0.0,1.010433365353649,0.0
KCTD12,0.0,0.0,0.0,0.6525985892550661,0.0
CD44,0.0,0.0,0.0,0.9305126739582318,0.0
IQGAP1,0.0,0.0,0.0,0.89042320299398,0.0
CFP,0.0,0.0,0.0,0.5039292474385322,0.0
FYB,0.0,0.0,0.0,0.9068694822812613,0.0
AP1S2,0.0,0.0,0.0,0.6868732143846831,0.0
PABPC4,0.0,0.0,0.0,0.8778230460512796,0.0
LCP1,0.0,0.0,0.0,0.8540958538431427,0.0
SH3BGRL,0.0,0.0,0.0,0.8000466748205262,0.0
C10orf54,0.0,0.0,0.0,0.45436267083396953,0.0
EMP3,0.0,0.0,0.0,0.7039258439625773,0.0
ITGB2,0.0,0.0,0.0,0.830388244007812,0.0
ACTR2,0.0,0.0,0.0,0.9773219055160457,0.0
TPP1,0.0,0.0,0.0,0.5896642923349636,0.0
TYMP,0.0,0.0,0.0,0.5789347705563687,0.0
RNF130,0.0,0.0,0.0,0.7050117143003612,0.0
RHOG,0.0,0.0,0.0,0.5801403589446177,0.0
DAZAP2,0.0,0.0,0.0,0.9891235873980517,0.0
IFNGR1,0.0,0.0,0.0,0.3609055409798516,0.0
VMP1,0.0,0.0,0.0,0.4626350249764139,0.0
GPSM3,0.0,0.0,0.0,0.6351429246981035,0.0
CAP1,0.0,0.0,0.0,0.8407890092876922,0.0
FKBP5,0.0,0.0,0.0,0.765601630332948,0.0
GNAI2,0.0,0.0,0.0,0.5897071229065729,0.0
CAPZA1,0.0,0.0,0.0,0.5524907794011618,0.0
ATP6V1F,0.0,0.0,0.0,0.45568169957651083,0.0
C6orf62,0.0,0.0,0.0,0.47042771573565495,0.0
TPM3,0.0,0.0,0.0,0.7533157269902439,0.0
