marker_ID,EC,Epi,Fib,IC
LYZ,0.0,0.0,0.0,2.9589628068743727
TYROBP,0.0,0.0,0.0,3.070460317434164
FCER1G,0.0,0.0,0.0,2.4882191380280925
EBI2,0.0,0.0,0.0,2.3166768155865913
AIF1,0.0,0.0,0.0,2.22424950878104
LST1,0.0,0.0,0.0,1.9197229035910917
IL1B,0.0,0.0,0.0,1.857832710359332
C15orf48,0.0,0.0,0.0,1.1587921985828638
EREG,0.0,0.0,0.0,1.136174817289898
MS4A6A,0.0,0.0,0.0,1.3297613399644779
LAPTM5,0.0,0.0,0.0,1.372642127165221
CD83,0.0,0.0,0.0,1.29725223591887
TYMP,0.0,0.0,0.0,1.6067234821655587
G0S2,0.0,0.0,0.0,1.386664020214895
BCL2A1,0.0,0.0,0.0,1.2291383887888205
MS4A7,0.0,0.0,0.0,1.1975267937761875
RGS1,0.0,0.0,0.0,1.2066271325232898
CTSS,0.0,0.0,0.0,1.5647841451260949
CREM,0.0,0.0,0.0,1.6566277198536095
HCST,0.0,0.0,0.0,1.2202200745123692
SERPINB9,0.0,0.0,0.0,1.2139721145658051
COTL1,0.0,0.0,0.0,1.4367601024020051
C1orf162,0.0,0.0,0.0,1.1322006562294191
RNASET2,0.0,0.0,0.0,1.3592026231289829
HLA-DMB,0.0,0.0,0.0,1.2007416247138138
PLEK,0.0,0.0,0.0,1.1356127247893486
DUSP2,0.0,0.0,0.0,1.4209188518690752
ITGB2,0.0,0.0,0.0,1.2077595950467255
SAMSN1,0.0,0.0,0.0,1.0383631634527046
CTSZ,0.0,0.0,0.0,1.2507071764807356
RNASE6,0.0,0.0,0.0,0.9275722768611412
CPVL,0.0,0.0,0.0,1.0644130099479823
NR4A2,0.0,0.0,0.0,1.274271490507171
RGS2,0.0,0.0,0.0,0.9094375918424111
SPI1,0.0,0.0,0.0,0.7710773378344966
RGS10,0.0,0.0,0.0,1.0972474510009342
CXCL16,0.0,0.0,0.0,1.0511236810616078
CD37,0.0,0.0,0.0,0.7455891072301403
AP1S2,0.0,0.0,0.0,0.6725000533646505
CD68,0.0,0.0,0.0,0.870341571754216
NINJ1,0.0,0.0,0.0,1.1239343756381066
PDE4B,0.0,0.0,0.0,0.5656641404582182
PTPRE,0.0,0.0,0.0,0.9275181504496772
CMTM6,0.0,0.0,0.0,1.323171755558417
PPT1,0.0,0.0,0.0,0.6783931195671007
BID,0.0,0.0,0.0,0.7102990903075851
GLIPR1,0.0,0.0,0.0,0.2788074951012303
ATP2B1,0.0,0.0,0.0,1.1350484242902432
FAM49B,0.0,0.0,0.0,0.6725000533646505
NFKB1,0.0,0.0,0.0,0.7549426534940925
CKLF-CMTM1,0.0,0.0,0.0,0.6538395715949263
ACTR2,0.0,0.0,0.0,0.942721677619498
IER5,0.0,0.0,0.0,0.6281761379891674
MACROH2A1,0.0,0.0,0.0,0.8740583673873441
ASAH1,0.0,0.0,0.0,0.7549426534940925
CTNNB1,0.0,0.0,0.0,0.905905271800528
KDM6B,0.0,0.0,0.0,0.9387716561392202
BTG2,0.0,0.0,0.0,0.9934317029022184
DCN,0.0,0.0,4.118699170121717,0.0
COL1A2,0.0,0.0,3.6210639342701962,0.0
LUM,0.0,0.0,3.569527890772201,0.0
COL1A1,0.0,0.0,3.481437968689603,0.0
COL3A1,0.0,0.0,3.457491896143712,0.0
CCDC80,0.0,0.0,3.4619815135242176,0.0
PLAC9,0.0,0.0,2.951344650091257,0.0
FBLN1,0.0,0.0,3.0987246777239585,0.0
COL6A2,0.0,0.0,2.7388344966852674,0.0
PLA2G2A,0.0,0.0,2.912873043159353,0.0
IGFBP6,0.0,0.0,3.0060237228707276,0.0
FSTL1,0.0,0.0,2.4956522264848378,0.0
MFAP5,0.0,0.0,2.622338956479261,0.0
PI16,0.0,0.0,2.403399009978507,0.0
SOD3,0.0,0.0,2.240771543421147,0.0
EFEMP1,0.0,0.0,2.262899420120873,0.0
SERPINF1,0.0,0.0,2.2707728740518673,0.0
FN1,0.0,0.0,2.0429792512398572,0.0
C1S,0.0,0.0,2.0924732582727597,0.0
COL6A3,0.0,0.0,2.0999969804085503,0.0
COL6A1,0.0,0.0,2.0046782186860446,0.0
C1R,0.0,0.0,1.940343125650986,0.0
SERPINE2,0.0,0.0,2.0437505598600993,0.0
MMP2,0.0,0.0,2.011197227875705,0.0
CCN2,0.0,0.0,1.8068386033091959,0.0
IGFBP5,0.0,0.0,2.306272195063454,0.0
VCAN,0.0,0.0,1.9092255442969754,0.0
SFRP2,0.0,0.0,1.694642399366142,0.0
CYR61,0.0,0.0,1.9086186305066146,0.0
FBN1,0.0,0.0,1.7759659483381105,0.0
NUPR1,0.0,0.0,1.8110416480115905,0.0
TIMP2,0.0,0.0,1.7454794909966,0.0
TNFAIP6,0.0,0.0,1.5674278873822638,0.0
MFAP4,0.0,0.0,1.67512881786628,0.0
TNXB,0.0,0.0,1.623092093893265,0.0
THY1,0.0,0.0,1.6282528518549162,0.0
ELN,0.0,0.0,1.562600755264141,0.0
RARRES2,0.0,0.0,1.5009723101201624,0.0
CXCL14,0.0,0.0,0.7311835404895725,0.0
IGF1,0.0,0.0,1.509165158768295,0.0
FBLN2,0.0,0.0,1.4941065074707625,0.0
DPT,0.0,0.0,1.3172542761878911,0.0
PCOLCE,0.0,0.0,1.347595743225014,0.0
EGR1,0.0,0.0,1.5955936917742606,0.0
CTHRC1,0.0,0.0,1.3329819360839155,0.0
SPON2,0.0,0.0,1.4076776035101422,0.0
C3,0.0,0.0,1.3209949976515043,0.0
HEL-S-265,0.0,0.0,1.6202355579458234,0.0
PCOLCE2,0.0,0.0,1.3502325219876576,0.0
SFRP4,0.0,0.0,1.06246600066241,0.0
HTRA3,0.0,0.0,1.1492291517339854,0.0
PRSS23,0.0,0.0,1.4411696808840375,0.0
AKAP12,0.0,0.0,1.3723055546776364,0.0
CTSK,0.0,0.0,1.2837798729576044,0.0
CGI-38,0.0,0.0,1.06246600066241,0.0
OGN,0.0,0.0,1.2601944397111804,0.0
BGN,0.0,0.0,1.218509197403346,0.0
HEL55,0.0,0.0,1.2658437209854418,0.0
PLAT,0.0,0.0,1.313346696005922,0.0
SFRP1,0.0,0.0,0.8757561698408551,0.0
GPX3,0.0,0.0,1.0524862985794672,0.0
COL5A1,0.0,0.0,1.182777239467772,0.0
COL14A1,0.0,0.0,1.1880538801713563,0.0
SDC2,0.0,0.0,1.234706232029882,0.0
CAVIN3,0.0,0.0,1.2248434521920544,0.0
CYBRD1,0.0,0.0,1.2142492018649274,0.0
NENF,0.0,0.0,1.5992459197944182,0.0
CD248,0.0,0.0,1.0923682356128455,0.0
GEM,0.0,0.0,1.0791854363231008,0.0
NBL1,0.0,0.0,1.3155366960930568,0.0
SLPI,0.0,0.0,1.4097117281450533,0.0
COL5A2,0.0,0.0,1.0650454515927317,0.0
CFH,0.0,0.0,1.3107282509983338,0.0
MMP23B,0.0,0.0,1.09188222276516,0.0
CLEC11A,0.0,0.0,1.0831104751344547,0.0
FBLN5,0.0,0.0,1.059749211698743,0.0
CALU,0.0,0.0,1.2573845984537608,0.0
C1QTNF3,0.0,0.0,0.9491056978582046,0.0
AEBP1,0.0,0.0,1.057907963886945,0.0
FGF7,0.0,0.0,0.9904051863946828,0.0
LRP1,0.0,0.0,1.1016676415637952,0.0
MFGE8,0.0,0.0,1.0724049075133841,0.0
TAGLN,0.0,0.0,1.1390632359569806,0.0
GYPC,0.0,0.0,1.0914043088911207,0.0
CLEC3B,0.0,0.0,0.6903913076857429,0.0
HTRA1,0.0,0.0,1.0285719106182298,0.0
ASPN,0.0,0.0,0.7810608673525856,0.0
ADH1B,0.0,0.0,0.822087026931327,0.0
FXYD1,0.0,0.0,1.004944346868915,0.0
SLIT3,0.0,0.0,1.0303945447317768,0.0
ABI3BP,0.0,0.0,1.002203387820801,0.0
HEL-S-277,0.0,0.0,1.0764956802370036,0.0
ARL6IP5,0.0,0.0,1.2441859868821812,0.0
CRIP1,0.0,0.0,0.9680839486455495,0.0
THBS2,0.0,0.0,0.9674199649225534,0.0
LTBP4,0.0,0.0,1.0192918090157224,0.0
ISLR,0.0,0.0,0.8758291083964362,0.0
NFIA,0.0,0.0,1.1449566660334853,0.0
FGFR1,0.0,0.0,0.9864045556157847,0.0
UAP1,0.0,0.0,1.0745760590204039,0.0
DPYSL2,0.0,0.0,0.9927789223579584,0.0
PTGIS,0.0,0.0,0.8921063308246377,0.0
OLFML3,0.0,0.0,0.8690892308708524,0.0
SELENOP,0.0,0.0,1.2452670775552073,0.0
RARRES1,0.0,0.0,0.7848020256557955,0.0
PDLIM2,0.0,0.0,0.9626425047727759,0.0
REXO2,0.0,0.0,1.1416437215352442,0.0
PRELP,0.0,0.0,0.8073046226669358,0.0
PBX1,0.0,0.0,1.061819615092301,0.0
CILP,0.0,0.0,0.43017250254999256,0.0
SCARA5,0.0,0.0,0.7785253959119836,0.0
DAB2,0.0,0.0,0.8868232961484599,0.0
SERPINH1,0.0,0.0,0.9282067743216289,0.0
CD34,0.0,0.0,0.7656549959236062,0.0
MATN2,0.0,0.0,0.4967858436883989,0.0
IFI27L2,0.0,0.0,1.0328871150240126,0.0
EFEMP2,0.0,0.0,0.8219309906911239,0.0
LHFP,0.0,0.0,0.8070622414295047,0.0
UGDH,0.0,0.0,1.1567684566621508,0.0
