stem_pluri,stem_adult,progenitor,cycling,secretory,immune,terminal,stromal,gsm,cohort,n_markers,resid_mae,status
0.0,0.1959663767927018,0.0,0.0,0.0,0.8040336232072982,0.0,0.0,GSM1235534,GSE51057,905,0.1056898228350596,OK
0.0,0.18324361893410152,0.0,0.0,0.0,0.8167563810658984,0.0,0.0,GSM1235535,GSE51057,860,0.10659251173808533,OK
0.0,0.1675906716637947,0.0,0.0,0.0,0.8324093283362052,0.0,0.0,GSM1235536,GSE51057,938,0.10506691703396967,OK
0.0,0.16805544842472886,0.0,0.0,0.0,0.8319445515752711,0.0,0.0,GSM1235537,GSE51057,881,0.10429386320712138,OK
0.0,0.14160872656658485,0.0,0.0,0.0,0.8583912734334151,0.0,0.0,GSM1235538,GSE51057,796,0.11808153598944857,OK
0.0,0.18045402149481554,0.0,0.0,0.0,0.8195459785051844,0.0,0.0,GSM1235539,GSE51057,867,0.1065066446383542,OK
0.0,0.19028739794025407,0.0,0.0,0.0,0.8097126020597459,0.0,0.0,GSM1235540,GSE51057,828,0.11122061857377546,OK
0.0,0.19218026765133744,0.0,0.0,0.0,0.8078197323486626,0.0,0.0,GSM1235541,GSE51057,784,0.12106303708180459,OK
0.0,0.19307135925742325,0.0,0.0,0.0,0.8069286407425766,0.0,0.0,GSM1235542,GSE51057,888,0.10280347979848556,OK
0.0,0.1584326738501633,0.0,0.0,0.0,0.8415673261498366,0.0,0.0,GSM1235543,GSE51057,932,0.10685340300691605,OK
0.0,0.19362578670130182,0.0,0.0,0.0,0.8063742132986981,0.0,0.0,GSM1235544,GSE51057,834,0.11279535703275903,OK
0.0,0.15646271878771356,0.0,0.0,0.0,0.8435372812122863,0.0,0.0,GSM1235545,GSE51057,808,0.11295643047896789,OK
0.0,0.19279321642087627,0.0,0.0,0.0,0.8072067835791238,0.0,0.0,GSM1235546,GSE51057,828,0.10658913521703556,OK
0.0,0.18574051556566817,0.0,0.0,0.0,0.8142594844343318,0.0,0.0,GSM1235547,GSE51057,921,0.10084539780049537,OK
0.005456790587389307,0.16109986185644043,0.0,0.0,0.0,0.8334433475561702,0.0,0.0,GSM1235548,GSE51057,797,0.11556808435995862,OK
0.0,0.1819022012335315,0.0,0.0,0.0,0.8180977987664685,0.0,0.0,GSM1235549,GSE51057,913,0.10155212415126506,OK
0.0,0.09023200780767951,0.0,0.0,0.0,0.9097679921923205,0.0,0.0,GSM1235550,GSE51057,714,0.12192780297015574,OK
0.0,0.1777546228723963,0.0,0.0,0.0,0.8222453771276037,0.0,0.0,GSM1235551,GSE51057,934,0.09966008040051895,OK
0.0,0.15795782638023048,0.0,0.0,0.0,0.8420421736197696,0.0,0.0,GSM1235552,GSE51057,908,0.10373830969835085,OK
0.0,0.16125985471009896,0.0,0.0,0.0,0.838740145289901,0.0,0.0,GSM1235553,GSE51057,884,0.10432178067058015,OK
0.0,0.1748577062228352,0.0,0.0,0.0,0.8251422937771647,0.0,0.0,GSM1235554,GSE51057,920,0.10676573049257204,OK
0.0,0.19129315921409218,0.0,0.0,0.0,0.8087068407859077,0.0,0.0,GSM1235555,GSE51057,882,0.1072043659459442,OK
0.0,0.159068309878861,0.0,0.0,0.0,0.840931690121139,0.0,0.0,GSM1235556,GSE51057,846,0.10940053207696358,OK
0.0,0.1587601604283534,0.0,0.0,0.0,0.8412398395716465,0.0,0.0,GSM1235557,GSE51057,934,0.10150103291810413,OK
0.0,0.126311257799823,0.0,0.0,0.0,0.8736887422001769,0.0,0.0,GSM1235558,GSE51057,896,0.10507555561596237,OK
0.0,0.17490688022399214,0.0,0.0,0.0,0.8250931197760079,0.0,0.0,GSM1235559,GSE51057,884,0.10746128455545259,OK
0.0,0.207473943395245,0.0,0.0,0.0,0.792526056604755,0.0,0.0,GSM1235560,GSE51057,880,0.10178810353110447,OK
0.0,0.1852120678705334,0.0,0.0,0.0,0.8147879321294667,0.0,0.0,GSM1235561,GSE51057,914,0.10092960045325942,OK
0.0,0.17142960508668936,0.0,0.0,0.0,0.8285703949133107,0.0,0.0,GSM1235562,GSE51057,865,0.10394255898823525,OK
0.0,0.16033605081529656,0.0,0.0,0.0,0.8396639491847033,0.0,0.0,GSM1235563,GSE51057,904,0.10351591823479019,OK
0.0,0.17303760192241635,0.0,0.0,0.0,0.8269623980775835,0.0,0.0,GSM1235564,GSE51057,910,0.10504732358365836,OK
0.0,0.15656073330848685,0.0,0.0,0.0,0.8434392666915131,0.0,0.0,GSM1235565,GSE51057,912,0.10408865240621615,OK
0.0,0.21192070041273292,0.0,0.0,0.0,0.7880792995872671,0.0,0.0,GSM1235566,GSE51057,914,0.0990103724570994,OK
0.0,0.20022800653402384,0.0,0.0,0.0,0.7997719934659762,0.0,0.0,GSM1235567,GSE51057,871,0.10791591828449068,OK
0.0,0.17374721886564015,0.0,0.0,0.0,0.8262527811343597,0.0,0.0,GSM1235568,GSE51057,904,0.10281209426278293,OK
0.0,0.19986717130896808,0.0,0.0,0.0,0.8001328286910319,0.0,0.0,GSM1235569,GSE51057,804,0.1226908350957622,OK
0.0,0.19690646981661586,0.0,0.0,0.0,0.8030935301833841,0.0,0.0,GSM1235570,GSE51057,917,0.09988211076819532,OK
0.0,0.2193264734938336,0.0,0.0,0.0,0.7806735265061664,0.0,0.0,GSM1235571,GSE51057,887,0.10266039918656925,OK
0.0,0.18792835424885035,0.0,0.0,0.0,0.8120716457511495,0.0,0.0,GSM1235572,GSE51057,910,0.10308348909848258,OK
0.0,0.11792507829548826,0.0,0.0,0.0,0.8820749217045117,0.0,0.0,GSM1235573,GSE51057,785,0.11912387159097586,OK
0.0,0.19050817958183786,0.0,0.0,0.0,0.8094918204181621,0.0,0.0,GSM1235574,GSE51057,911,0.1001498317822201,OK
0.0,0.2187780275960064,0.0,0.0,0.0,0.7812219724039937,0.0,0.0,GSM1235575,GSE51057,913,0.09850075797320296,OK
0.0,0.15594666682574887,0.0,0.0,0.0,0.8440533331742511,0.0,0.0,GSM1235576,GSE51057,799,0.11550391895237491,OK
0.0,0.16712142113635287,0.0,0.0,0.0,0.8328785788636471,0.0,0.0,GSM1235577,GSE51057,909,0.0999002425311607,OK
0.0,0.1821228598376342,0.0,0.0,0.0,0.8178771401623657,0.0,0.0,GSM1235578,GSE51057,825,0.10757844942303119,OK
0.0,0.17026245250540395,0.0,0.0,0.0,0.829737547494596,0.0,0.0,GSM1235579,GSE51057,885,0.1074585538263629,OK
0.0,0.18137231024005457,0.0,0.0,0.0,0.8186276897599454,0.0,0.0,GSM1235580,GSE51057,892,0.10794279504734003,OK
0.0,0.15873793990117446,0.0,0.0,0.0,0.8412620600988255,0.0,0.0,GSM1235581,GSE51057,779,0.12132366848954443,OK
0.0,0.16969277616189127,0.0,0.0,0.0,0.8303072238381087,0.0,0.0,GSM1235582,GSE51057,917,0.10090507043399398,OK
0.0,0.18594378262165062,0.0,0.0,0.0,0.8140562173783493,0.0,0.0,GSM1235583,GSE51057,932,0.10594957826471789,OK
0.0,0.20255610765669702,0.0,0.0,0.0,0.797443892343303,0.0,0.0,GSM1235584,GSE51057,877,0.1073819602975066,OK
0.0,0.17752434022182134,0.0,0.0,0.0,0.8224756597781787,0.0,0.0,GSM1235585,GSE51057,866,0.10765377074020274,OK
0.0,0.2108450063870067,0.0,0.0,0.0,0.7891549936129932,0.0,0.0,GSM1235586,GSE51057,840,0.10735562412371649,OK
0.0,0.14229232281470594,0.0,0.0,0.0,0.8577076771852942,0.0,0.0,GSM1235587,GSE51057,866,0.10649234287120263,OK
0.0,0.1821869998112171,0.0,0.0,0.0,0.8178130001887829,0.0,0.0,GSM1235588,GSE51057,920,0.10018691146619865,OK
0.0,0.18885197685961713,0.0,0.0,0.0,0.8111480231403829,0.0,0.0,GSM1235589,GSE51057,881,0.10193675729868913,OK
0.0,0.14751124943201976,0.0,0.0,0.0,0.8524887505679802,0.0,0.0,GSM1235590,GSE51057,906,0.10620039813483949,OK
0.0,0.20919955702808013,0.0,0.0,0.0,0.7908004429719198,0.0,0.0,GSM1235591,GSE51057,886,0.10538089241133634,OK
0.0,0.18785150354965324,0.0,0.0,0.0,0.8121484964503468,0.0,0.0,GSM1235594,GSE51057,882,0.11023699865002805,OK
0.0,0.13819725239581437,0.0,0.0,0.0,0.8618027476041856,0.0,0.0,GSM1235596,GSE51057,833,0.1129489869983655,OK
0.0,0.18176308739308145,0.0,0.0,0.0,0.8182369126069184,0.0,0.0,GSM1235600,GSE51057,847,0.10795846381169374,OK
0.0,0.15620979846160754,0.0,0.0,0.0,0.8437902015383925,0.0,0.0,GSM1235601,GSE51057,852,0.11354886030564339,OK
0.0,0.15040593077802322,0.0,0.0,0.0,0.8495940692219767,0.0,0.0,GSM1235604,GSE51057,813,0.11660260795094361,OK
0.0,0.12957432044137396,0.0,0.0,0.0,0.870425679558626,0.0,0.0,GSM1235605,GSE51057,820,0.11834132352400456,OK
0.0,0.15734987640188774,0.0,0.0,0.0,0.8426501235981122,0.0,0.0,GSM1235606,GSE51057,920,0.1009441302469834,OK
0.0,0.13469378184201614,0.0,0.0,0.0,0.8653062181579839,0.0,0.0,GSM1235607,GSE51057,811,0.11391959272632625,OK
0.0,0.13935726193536715,0.0,0.0,0.0,0.8606427380646329,0.0,0.0,GSM1235611,GSE51057,875,0.1102718676265874,OK
0.0,0.14297920868211522,0.0,0.0,0.0,0.8570207913178847,0.0,0.0,GSM1235612,GSE51057,856,0.11414439303402937,OK
0.0,0.17253483835787786,0.0,0.0,0.0,0.8274651616421221,0.0,0.0,GSM1235617,GSE51057,891,0.10536069843625451,OK
0.0,0.20054259396014673,0.0,0.0,0.0,0.7994574060398533,0.0,0.0,GSM1235619,GSE51057,871,0.10891485875914879,OK
0.0,0.12802499728886407,0.0,0.0,0.0,0.8719750027111359,0.0,0.0,GSM1235620,GSE51057,824,0.11381915984628835,OK
0.0,0.10305003779490585,0.0,0.0,0.0,0.8969499622050943,0.0,0.0,GSM1235621,GSE51057,842,0.11469491904028481,OK
0.0,0.13064946552330478,0.0,0.0,0.0,0.8693505344766952,0.0,0.0,GSM1235624,GSE51057,787,0.11645239458852011,OK
0.0,0.18965528884794253,0.0,0.0,0.0,0.8103447111520574,0.0,0.0,GSM1235625,GSE51057,835,0.11857677073124967,OK
0.0,0.17688796586560485,0.0,0.0,0.0,0.8231120341343952,0.0,0.0,GSM1235628,GSE51057,853,0.10960605258538507,OK
0.0,0.19400724646998968,0.0,0.0,0.0,0.8059927535300104,0.0,0.0,GSM1235631,GSE51057,848,0.10950891600760078,OK
0.0,0.18729343501256296,0.0,0.0,0.0,0.812706564987437,0.0,0.0,GSM1235632,GSE51057,846,0.11292065212944531,OK
0.0,0.150545638365143,0.0,0.0,0.0,0.8494543616348569,0.0,0.0,GSM1235637,GSE51057,813,0.11262825254931623,OK
0.0,0.1853003460242455,0.0,0.0,0.0,0.8146996539757544,0.0,0.0,GSM1235638,GSE51057,794,0.11773229992477262,OK
0.0,0.1333872034086268,0.0,0.0,0.0,0.8666127965913732,0.0,0.0,GSM1235640,GSE51057,793,0.11854512472854035,OK
0.0,0.1800134425934624,0.0,0.0,0.0,0.8199865574065375,0.0,0.0,GSM1235641,GSE51057,848,0.1111154636364654,OK
0.0,0.15924783954427135,0.0,0.0,0.0,0.8407521604557285,0.0,0.0,GSM1235643,GSE51057,851,0.11403783713567021,OK
0.0,0.14908568197751926,0.0,0.0,0.0,0.8509143180224806,0.0,0.0,GSM1235644,GSE51057,850,0.11177163031620935,OK
0.0,0.16578089423729248,0.0,0.0,0.0,0.8342191057627075,0.0,0.0,GSM1235646,GSE51057,861,0.1105220438756792,OK
0.0,0.16299598068795934,0.0,0.0,0.0,0.8370040193120407,0.0,0.0,GSM1235649,GSE51057,759,0.12141390129402452,OK
