cpg,bc_hc,bc_case,delta_bc,mean_beta_hc,mean_beta_case,sd_beta_hc,sd_beta_case,delta_var,bimodal_in_hc,lost_in_case,loss_of_bimodality,in_residual_concordant
cg00002033,0.5873980560275712,0.6201404581951129,0.03274240216754165,0.7646825414012739,0.7778390000000001,0.1463894534472078,0.15176359742688628,0.0016023174233777797,True,False,False,False
cg00002426,0.3877667295396411,0.4192457496281214,0.0314790200884803,0.8873874564755839,0.8874711428571429,0.022779982682958024,0.02571978218775801,0.00014257958474984673,False,False,False,False
cg00004700,0.3616471583670963,0.2982794054108064,-0.06336775295628994,0.9136648917197451,0.9141941055900621,0.008656375383604125,0.009950031735252456,2.4070296750663544e-05,False,False,False,False
cg00007466,0.39275440598716743,0.3506893537902448,-0.042065052196922637,0.9154443630573249,0.9149712173913043,0.011249612321917624,0.01141778145738898,3.811956015254775e-06,False,False,False,False
cg00009750,0.38545969436088523,0.7347325817028446,0.3492728873419594,0.9302133609341826,0.9301925031055901,0.007583180851241835,0.01320385688498072,0.00011683720481641194,False,False,False,False
cg00014203,0.36053287925771565,0.41888427553263774,0.058351396274922085,0.7530326050955414,0.7530813664596274,0.051620081093701455,0.05824955431961362,0.0007283778063133036,False,False,False,False
cg00015530,0.36300824277136146,0.3576567154680286,-0.005351527303332881,0.09236256263269638,0.09123562111801242,0.013900084381031368,0.013088324403807436,-2.1908110100490907e-05,False,False,False,False
cg00017461,0.28158786969502025,0.3228490106430399,0.04126114094801964,0.02524737579617834,0.024970565217391303,0.0020785790197766075,0.002023180181615718,-2.27232694172873e-07,False,False,False,False
cg00018229,0.38134671016336286,0.9639311943986617,0.5825844842352988,0.045467893842887463,0.05029657142857143,0.010144972320536483,0.06540728658841405,0.004175192675474476,False,False,False,False
cg00021152,0.3541845067833952,0.9490316817642933,0.5948471749808981,0.9450610233545648,0.9432049627329192,0.004806159678672797,0.028648509698343864,0.0007976379370792022,False,False,False,False
cg00023321,0.32003436392637097,0.3072557688062598,-0.012778595120111147,0.867718932059448,0.8682638757763975,0.014396416396275452,0.015234038631776933,2.4819127979523335e-05,False,False,False,False
cg00025331,0.3645333121373017,0.37249222484226957,0.007958912704967847,0.922407753715499,0.9235628881987578,0.011465205709285647,0.010339903357257374,-2.453734051881387e-05,False,False,False,False
cg00026290,0.306328336682925,0.37156730469602567,0.0652389680131007,0.1554055753715499,0.14176019875776397,0.04170680694366723,0.04351954148538043,0.00015449274566141976,False,False,False,True
cg00028336,0.31541081595447923,0.34087346650810435,0.02546265055362512,0.9015393970276008,0.9024380745341615,0.013898272565763215,0.012180885275993284,-4.478801420533643e-05,False,False,False,False
