cpg,d_AIBL,d_AddNeuroMed,concordant_strong,mean_abs_d,CHR,MAPINFO
cg00002033,0.103629,-0.132475,False,0.118052,19,39307841.0
cg00002426,-0.003522,-0.025610,False,0.014566,3,57757816.0
cg00004700,0.052402,-0.288740,False,0.170571,2,105397428.0
cg00007466,-0.093414,-0.281758,False,0.187586,19,7520200.0
cg00009750,0.093166,0.032713,False,0.062940,2,201866169.0
cg00014203,0.022384,-0.079214,False,0.050799,17,7854651.0
cg00015530,-0.128338,0.082960,False,0.105649,8,143978782.0
cg00017461,-0.189787,0.040411,False,0.115099,22,30267327.0
cg00018229,0.142793,0.127527,False,0.135160,1,230977673.0
cg00021152,-0.034620,-0.158454,False,0.096537,8,26509572.0
cg00023321,0.056615,0.271671,False,0.164143,6,31543586.0
cg00025331,0.150315,-0.016717,False,0.083516,2,144389783.0
cg00026290,-0.322214,-0.249990,True,0.286102,4,10684930.0
cg00028336,0.094110,-0.235731,False,0.164921,4,185820634.0
cg00028929,0.021516,-0.030297,False,0.025907,12,52514694.0
cg00031013,-0.010520,-0.140971,False,0.075746,17,7854615.0
cg00031187,0.195541,-0.117036,False,0.156289,12,31370063.0
cg00034336,-0.161069,-0.152645,False,0.156857,2,8543996.0
cg00037681,-0.250246,0.052794,False,0.151520,12,47216588.0
cg00041401,-0.068711,0.090753,False,0.079732,1,113871786.0
cg00041575,-0.187846,0.114029,False,0.150937,11,2301511.0
cg00041865,0.214904,-0.249239,False,0.232071,5,14904314.0
cg00043076,0.123866,-0.034237,False,0.079052,4,8442050.0
cg00045753,0.085402,0.164641,False,0.125021,9,120868267.0
cg00047683,0.197088,0.117797,False,0.157442,16,72000223.0
cg00048743,-0.012109,-0.158359,False,0.085234,5,141402800.0
cg00051307,-0.146509,-0.213134,False,0.179821,5,73228366.0
cg00057966,0.061364,0.185997,False,0.123680,17,58331333.0
cg00058887,-0.057465,-0.032313,False,0.044889,4,183987865.0
cg00067884,0.102362,0.044555,False,0.073459,15,63677999.0
cg00070899,-0.101347,0.028798,False,0.065073,6,34056702.0
cg00075967,-0.014697,0.164539,False,0.089618,15,74203013.0
cg00078348,-0.235557,-0.019147,False,0.127352,11,113974765.0
cg00081602,0.175459,0.072388,False,0.123924,5,73627132.0
cg00082235,0.037541,0.097548,False,0.067545,12,6555370.0
cg00090674,-0.132201,-0.343039,False,0.237620,22,50008249.0
cg00092400,-0.249014,0.120345,False,0.184679,12,51394501.0
cg00098182,0.061549,-0.014475,False,0.038012,15,22879895.0
cg00100680,-0.070366,0.120662,False,0.095514,4,4404473.0
cg00101602,0.120275,-0.200414,False,0.160345,10,72098085.0
cg00118342,0.079551,0.247552,False,0.163552,2,106160582.0
cg00130808,0.152372,-0.149070,False,0.150721,15,36886708.0
cg00136822,0.092381,0.215663,False,0.154022,12,46221071.0
cg00141162,0.044325,0.072070,False,0.058197,3,121660930.0
cg00143809,0.017284,0.016550,False,0.016917,22,50282123.0
cg00147943,-0.148627,0.298615,False,0.223621,1,67760030.0
cg00149213,0.042367,0.199198,False,0.120782,1,160647334.0
cg00150245,0.071210,-0.031795,False,0.051503,16,19111382.0
cg00154950,-0.023440,-0.262462,False,0.142951,8,4116508.0
cg00157012,-0.219384,-0.345733,True,0.282559,8,25201736.0
cg00164282,-0.238024,-0.040446,False,0.139235,17,32503714.0
cg00164583,0.061067,0.093451,False,0.077259,16,88488012.0
cg00164997,0.209980,0.217525,True,0.213753,6,25042320.0
cg00166343,-0.241264,-0.066173,False,0.153719,17,30823082.0
cg00167158,0.114946,0.149465,False,0.132206,2,157053132.0
cg00168191,0.064504,-0.051941,False,0.058223,19,3097567.0
cg00171729,-0.197376,0.026774,False,0.112075,6,52552058.0
cg00172074,0.107740,-0.140066,False,0.123903,4,183316233.0
cg00172603,-0.017240,0.109499,False,0.063369,1,54356358.0
cg00183886,-0.036279,-0.107590,False,0.071934,4,52658129.0
cg00187503,0.100513,-0.154015,False,0.127264,18,77017563.0
cg00195796,0.064185,0.123832,False,0.094009,3,181726343.0
cg00199519,-0.034964,-0.205643,False,0.120304,17,18119807.0
cg00200645,-0.196097,-0.094118,False,0.145108,17,60158417.0
cg00206063,-0.055737,0.061037,False,0.058387,10,3763060.0
cg00208218,0.169022,-0.038059,False,0.103541,2,71024323.0
cg00211625,0.053834,-0.032617,False,0.043226,3,169837125.0
cg00212786,-0.025895,-0.021082,False,0.023488,2,132414368.0
cg00213668,0.100561,-0.238417,False,0.169489,7,98398895.0
cg00216138,0.327127,0.098986,False,0.213056,15,36878974.0
cg00222625,0.121324,-0.012572,False,0.066948,6,107111236.0
cg00225623,-0.250153,-0.039770,False,0.144962,13,24271753.0
cg00232092,-0.172691,-0.110562,False,0.141627,7,5479256.0
cg00232402,-0.139486,0.010954,False,0.075220,18,79625290.0
cg00238318,-0.104709,-0.268408,False,0.186558,10,92848193.0
cg00240653,-0.148955,-0.034152,False,0.091553,12,54984627.0
cg00242035,0.146270,0.329981,False,0.238126,11,47394807.0
cg00245885,-0.160526,-0.271432,False,0.215979,5,135344449.0
cg00247963,-0.101682,-0.142238,False,0.121960,16,20851829.0
cg00249032,0.009486,-0.132750,False,0.071118,20,45347112.0
cg00249974,-0.071554,-0.046888,False,0.059221,1,156284358.0
cg00255726,0.086706,0.113097,False,0.099902,8,21911603.0
cg00257775,-0.262746,-0.172919,False,0.217832,6,37936905.0
cg00263619,0.124063,-0.079071,False,0.101567,12,94333686.0
cg00265360,-0.171020,0.263017,False,0.217018,17,1197984.0
cg00266566,0.108513,0.169653,False,0.139083,9,32565611.0
cg00280812,-0.107292,-0.078589,False,0.092941,12,52192060.0
cg00281100,0.118047,-0.029088,False,0.073567,10,88281677.0
cg00281977,0.148997,-0.061728,False,0.105363,10,133520397.0
cg00285317,-0.090440,-0.078730,False,0.084585,2,237497465.0
cg00287915,-0.280160,0.040144,False,0.160152,5,1503480.0
cg00302521,0.024891,-0.004624,False,0.014757,1,152515433.0
cg00308914,-0.161857,0.020146,False,0.091002,5,17436606.0
cg00311883,-0.161100,-0.005280,False,0.083190,1,234963373.0
cg00318947,0.085936,-0.138916,False,0.112426,7,27115295.0
cg00320288,-0.088553,0.390939,False,0.239746,16,85829561.0
cg00325139,0.009481,-0.056325,False,0.032903,6,57313825.0
cg00325381,-0.018345,0.077324,False,0.047835,18,8370162.0
cg00325491,0.023127,-0.104121,False,0.063624,11,93553004.0
cg00325531,-0.008281,0.095325,False,0.051803,1,75125668.0
cg00331101,-0.052446,-0.129814,False,0.091130,4,184028834.0
cg00335219,-0.215827,-0.145279,False,0.180553,16,85978699.0
cg00339740,0.046736,-0.232184,False,0.139460,2,143906972.0
cg00344445,-0.215802,-0.304569,True,0.260185,11,128777212.0
cg00355699,0.054487,0.104104,False,0.079295,13,104015480.0
cg00356694,0.106832,0.254747,False,0.180789,17,4433907.0
cg00359423,0.161962,0.015982,False,0.088972,11,95792987.0
cg00360761,-0.200067,-0.249930,True,0.224999,2,43170940.0
cg00362657,0.094135,-0.160729,False,0.127432,21,43456790.0
cg00362818,0.033817,-0.019519,False,0.026668,13,76991185.0
cg00363080,-0.090230,0.020303,False,0.055266,10,1412097.0
cg00366413,-0.164342,-0.061274,False,0.112808,12,6963533.0
cg00370106,-0.060670,0.208111,False,0.134390,6,158650074.0
cg00375025,-0.030178,-0.086782,False,0.058480,3,156143143.0
cg00375608,-0.144028,-0.025441,False,0.084735,7,1568151.0
cg00381974,0.091246,0.238947,False,0.165096,18,46680394.0
cg00387964,0.004746,-0.120672,False,0.062709,4,7650208.0
cg00400165,0.001841,0.020576,False,0.011208,11,64891588.0
cg00405112,0.104580,0.062426,False,0.083503,3,138009487.0
cg00412294,-0.032992,0.025490,False,0.029241,12,96906804.0
cg00415057,0.039685,0.157848,False,0.098766,16,68299791.0
cg00421645,0.023342,-0.028392,False,0.025867,5,43312099.0
cg00428709,0.179829,0.132845,False,0.156337,16,51550522.0
cg00435692,0.092194,0.075207,False,0.083701,15,71707148.0
cg00437360,0.167580,-0.049172,False,0.108376,17,14310262.0
cg00437411,0.014665,-0.041179,False,0.027922,15,59611769.0
cg00440980,0.261782,0.186038,False,0.223910,17,76643812.0
cg00442389,-0.198016,-0.056791,False,0.127404,6,32192297.0
cg00447208,-0.063424,0.149482,False,0.106453,17,78130220.0
cg00448868,-0.177283,-0.238499,False,0.207891,16,66741590.0
cg00449000,0.131911,-0.009505,False,0.070708,9,129888369.0
cg00450164,-0.054592,0.093998,False,0.074295,1,209756782.0
cg00452882,-0.159678,-0.013982,False,0.086830,16,67653216.0
cg00456892,-0.136945,0.014076,False,0.075511,11,124760029.0
cg00459816,0.029550,0.103253,False,0.066401,17,39705860.0
cg00461650,-0.071827,0.111419,False,0.091623,16,13909867.0
cg00463982,0.007294,0.153712,False,0.080503,16,1533983.0
cg00469083,-0.005664,-0.256229,False,0.130947,16,78567941.0
cg00470044,0.084632,-0.017306,False,0.050969,2,28233317.0
cg00475131,-0.214440,0.338993,False,0.276717,19,40611190.0
cg00476955,-0.193312,-0.133660,False,0.163486,11,3626783.0
cg00487187,-0.005104,-0.023503,False,0.014303,10,92691868.0
cg00491064,0.076553,-0.000828,False,0.038690,11,19660240.0
cg00491523,-0.078801,0.084064,False,0.081432,16,6863335.0
cg00498816,0.155943,-0.227848,False,0.191895,3,13623522.0
cg00500789,0.029785,0.182512,False,0.106149,1,43285699.0
cg00502099,-0.150335,0.184232,False,0.167283,11,2301388.0
cg00512404,-0.134554,0.022000,False,0.078277,12,14961798.0
cg00513941,0.145569,-0.135627,False,0.140598,19,41933093.0
cg00514575,0.013488,0.312020,False,0.162754,5,180804155.0
cg00516870,-0.023237,-0.119659,False,0.071448,17,78841927.0
cg00521850,0.088542,-0.013730,False,0.051136,8,140339095.0
cg00524220,0.137217,0.044277,False,0.090747,19,3098965.0
cg00532399,0.001680,-0.218835,False,0.110258,5,171782549.0
cg00542261,0.019801,0.010300,False,0.015051,10,69361659.0
cg00543840,0.094470,0.087520,False,0.090995,1,21886883.0
cg00547103,-0.185125,-0.162476,False,0.173801,4,158170937.0
cg00552087,-0.154732,-0.085014,False,0.119873,8,3459371.0
cg00558804,-0.015748,0.192639,False,0.104194,16,88703353.0
cg00561854,0.026696,0.001556,False,0.014126,2,30030682.0
cg00566297,-0.076329,0.047469,False,0.061899,1,241424876.0
cg00569276,-0.184693,0.029738,False,0.107216,1,17120050.0
cg00572966,-0.141965,0.071368,False,0.106666,7,21370778.0
cg00577167,0.038689,0.316345,False,0.177517,9,101435393.0
cg00579036,-0.076482,0.164943,False,0.120712,6,25138323.0
cg00582337,-0.144580,0.361459,False,0.253020,17,42122793.0
