"cpg_id","chr","pos"
"cg00050873","chrY",9363356
"cg00212031","chrY",21239348
"cg00213748","chrY",8148233
"cg00214611","chrY",15815688
"cg00455876","chrY",9385539
"cg01707559","chrY",6778695
"cg02004872","chrY",15815552
"cg02011394","chrY",9194502
"cg02050847","chrY",22918038
"cg02233190","chrY",22737591
"cg02494853","chrY",4868397
"cg02839557","chrY",6778641
"cg02842889","chrY",2803127
"cg03052502","chrY",9193029
"cg03155755","chrY",9385861
"cg03244189","chrY",21238472
"cg03443143","chrY",9363365
"cg03683899","chrY",2803070
"cg03695421","chrY",14074773
"cg03706273","chrY",16635745
"cg03750315","chrY",22737896
"cg03767353","chrY",2658057
"cg04016144","chrY",9215053
"cg04023335","chrY",14100573
"cg04042030","chrY",6778623
"cg04303809","chrY",14649201
"cg04448376","chrY",15591617
"cg04462340","chrY",13911503
"cg04689676","chrY",7142046
"cg04792227","chrY",17568097
"cg04840163","chrY",2804320
"cg04964672","chrY",7428198
"cg05213048","chrY",14100276
"cg05230942","chrY",21155270
"cg05480730","chrY",7142073
"cg05544622","chrY",9303646
"cg05621349","chrY",21729069
"cg05865243","chrY",6114255
"cg05890011","chrY",14774195
"cg06322277","chrY",22917937
"cg06479204","chrY",15591533
"cg07731488","chrY",21729314
"cg07747963","chrY",22917087
"cg07939587","chrY",2657936
"cg08242338","chrY",6114379
"cg08265308","chrY",28555550
"cg08921682","chrY",6891543
"cg09350919","chrY",9365070
"cg09460641","chrY",9385586
"cg09856092","chrY",15016590
"cg10076560","chrY",21729144
"cg10213302","chrY",2802975
"cg10252249","chrY",20508275
"cg10267609","chrY",24453757
"cg10363397","chrY",15864778
"cg10698069","chrY",15016598
"cg10841270","chrY",22917104
"cg11131351","chrY",2802287
"cg13268984","chrY",15863367
"cg13851368","chrY",14074873
"cg14180491","chrY",15016705
"cg14210405","chrY",9930240
"cg14466580","chrY",10037020
"cg14741114","chrY",14774198
"cg15027426","chrY",21664604
"cg15295597","chrY",4868368
"cg15329860","chrY",21906636
"cg15345074","chrY",21239461
"cg15422579","chrY",22737424
"cg15429127","chrY",15016579
"cg15563434","chrY",2657879
"cg15682806","chrY",9747821
"cg15682993","chrY",21729251
"cg15746461","chrY",14774193
"cg15810474","chrY",9306450
