CpG_ID,B,NK,CD4T,CD8T,Mono,Neutro,Eosino
cg01024458,0.033828215,0.961538011,0.968892265,0.958085883,0.986555183,0.992320398,0.991283773
cg11661493,0.037388478,0.954336213,0.971421039,0.964363811,0.957643069,0.961879893,0.962407268
cg21596498,0.060084613,0.980144892,0.989282067,0.988710619,0.980361102,0.975700989,0.983963734
cg05205074,0.048570832,0.953843672,0.966798688,0.961263862,0.967285125,0.979215684,0.986126288
cg17232476,0.044910943,0.962219073,0.968697985,0.957894576,0.932185261,0.979589943,0.976224136
cg14936008,0.064749293,0.975629094,0.979681432,0.982698441,0.977200922,0.982950696,0.985738348
cg05579731,0.040673189,0.939992351,0.953276061,0.947511013,0.969349072,0.965732524,0.961083069
cg17995557,0.039992921,0.870191487,0.974383625,0.958264746,0.961842062,0.968857684,0.968257213
cg15035590,0.072201621,0.977549019,0.985519108,0.979279022,0.974000088,0.985541524,0.986456708
cg00760938,0.048524391,0.921444115,0.964050246,0.945975934,0.945397702,0.949390762,0.96447439
cg21743182,0.054135325,0.940546172,0.954605473,0.955292312,0.944488882,0.95900347,0.955056848
cg26552743,0.044739891,0.93612137,0.963739727,0.962999381,0.932379234,0.932030335,0.921607776
cg22212560,0.042696332,0.965542839,0.978016173,0.975829202,0.82105884,0.956370237,0.933592706
cg20602300,0.086384251,0.973703571,0.982958604,0.978248203,0.978118059,0.97720108,0.982881333
cg06889975,0.067235159,0.960868175,0.979398604,0.965523069,0.951654066,0.945342772,0.936387114
cg15532942,0.063396626,0.92772193,0.956168513,0.936678441,0.963182611,0.958402232,0.97023968
cg02665297,0.079826778,0.956916067,0.970263533,0.968824033,0.964608533,0.971808333,0.975305217
cg16148346,0.072087453,0.964769084,0.969208896,0.95981868,0.942882224,0.959405691,0.961963606
cg22498365,0.074431673,0.96129057,0.942383282,0.955139277,0.962331202,0.970312349,0.977295313
cg27565966,0.068063856,0.938365929,0.966881216,0.946845434,0.9417992,0.942571719,0.957131621
cg26810157,0.043964958,0.891265739,0.973754327,0.943145844,0.942833673,0.919735242,0.857730757
cg24466100,0.044202365,0.930035616,0.915880423,0.897458063,0.911180245,0.932822347,0.940723927
cg22907103,0.056499319,0.931557161,0.952381086,0.943599095,0.899629029,0.934244903,0.935863609
cg14060402,0.097440681,0.970837906,0.976990095,0.978261468,0.956236716,0.967001167,0.964857033
cg26795340,0.049080506,0.917165421,0.94782575,0.926712099,0.904359017,0.91836927,0.909386225
cg09469986,0.086704754,0.922297559,0.965913056,0.941282673,0.960674012,0.976707667,0.970096802
cg04828493,0.077586737,0.890741,0.970193167,0.9628664,0.892430983,0.980749633,0.980948333
cg10147394,0.059423351,0.895142686,0.926296308,0.8896183,0.946306445,0.952166847,0.944042229
cg16185947,0.060652954,0.93943142,0.966718566,0.939726207,0.935680583,0.904794227,0.843255933
cg18067520,0.026729024,0.932459526,0.967332465,0.973840265,0.828386642,0.879149819,0.737091183
cg18590995,0.040888217,0.929119399,0.943119543,0.945946531,0.886564253,0.847891845,0.849986477
cg13915752,0.088176836,0.960673127,0.970608923,0.955827141,0.928303121,0.947949851,0.912371784
cg26160564,0.063851534,0.859718833,0.918150148,0.879486202,0.937942243,0.960273605,0.963896293
cg06963205,0.040609367,0.881773872,0.90227472,0.883012724,0.833602208,0.927634885,0.921205161
cg23730277,0.117258128,0.953485542,0.980426812,0.971340524,0.968982059,0.958688712,0.956162679
cg11160673,0.057029956,0.934641207,0.963893593,0.980243667,0.690518113,0.932850005,0.921745502
cg11193201,0.051006288,0.94462885,0.94322166,0.951458797,0.818917889,0.909964112,0.813056785
