"probeID","EID","CM","EC","FB","MP","SMC","weight"
"cg00002145",1293,0.782593082650716,0.782593082650716,0,0.782593082650716,0.782593082650716,0.782593082650716
"cg00004700",2274,0,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698
"cg00007466",140467,0,0.0316874600480474,0.0316874600480474,0.0316874600480474,0.0316874600480474,0.0316874600480474
"cg00011856",3488,0.5125,0.5125,0,0.5125,0,0.5125
"cg00023132",10550,0,0.00290656402401166,0,0.00290656402401166,0.00290656402401166,0.00290656402401166
"cg00028013",4016,0,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925
"cg00031779",115701,0,0.636347310744189,0.636347310744189,0.636347310744189,0.636347310744189,0.636347310744189
"cg00037186",6236,0,0.0576923076923077,0.0576923076923077,0.0576923076923077,0.0576923076923077,0.0576923076923077
"cg00041666",23345,0,0,0.831437463012655,0.831437463012655,0.831437463012655,0.831437463012655
"cg00044097",2274,0,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698
"cg00050152",153579,0.845,0,0.845,0.845,0.845,0.845
"cg00051483",168537,0.750433101951523,0,0.750433101951523,0,0.750433101951523,0.750433101951523
"cg00056754",92235,0,0.91,0.91,0.91,0.91,0.91
"cg00063346",84033,0,0.464,0.464,0.464,0.464,0.464
"cg00063477",9086,0,0.190667479258488,0.190667479258488,0.190667479258488,0.190667479258488,0.190667479258488
"cg00066668",283383,0,0.8275,0,0.8275,0.8275,0.8275
"cg00071887",4016,0,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925
"cg00072369",4338,0,0.028540133338534,0.028540133338534,0.028540133338534,0.028540133338534,0.028540133338534
"cg00085438",4154,0,0.6025,0.6025,0.6025,0.6025,0.6025
"cg00091633",11167,0.460958636671629,0.460958636671629,0,0.460958636671629,0.460958636671629,0.460958636671629
"cg00100703",146862,0,0.5725,0.5725,0.5725,0.5725,0.5725
"cg00101728",5269,0,0.061644362051661,0.061644362051661,0.061644362051661,0.061644362051661,0.061644362051661
"cg00106073",4000,0,0.031151147657302,0.031151147657302,0.031151147657302,0.031151147657302,0.031151147657302
"cg00131557",29103,0,0.963,0.963,0.963,0.963,0.963
"cg00134295",2,0.913572016554815,0,0.913572016554815,0.913572016554815,0,0.913572016554815
"cg00141925",2,0.913572016554815,0,0.913572016554815,0.913572016554815,0,0.913572016554815
"cg00142150",3956,0.164863335581872,0.164863335581872,0,0.164863335581872,0,0.164863335581872
"cg00142933",55679,0,0.952929006781629,0.952929006781629,0.952929006781629,0.952929006781629,0.952929006781629
"cg00143986",283383,0,0.8275,0,0.8275,0.8275,0.8275
"cg00146565",1293,0.782593082650716,0.782593082650716,0,0.782593082650716,0.782593082650716,0.782593082650716
"cg00146928",2,0.913572016554815,0,0.913572016554815,0.913572016554815,0,0.913572016554815
"cg00149976",11343,0.117024265644955,0,0.117024265644955,0.117024265644955,0,0.117024265644955
"cg00159953",1292,0.140894922974602,0.140894922974602,0,0.140894922974602,0.140894922974602,0.140894922974602
"cg00166653",6546,0,0.9025,0.9025,0.9025,0.9025,0.9025
"cg00168514",5621,0,0.770626707191095,0.770626707191095,0.770626707191095,0.770626707191095,0.770626707191095
"cg00182202",6345,0,0.740467966124173,0.740467966124173,0.740467966124173,0.740467966124173,0.740467966124173
"cg00189989",7122,0.897009500576304,0,0.897009500576304,0.897009500576304,0.897009500576304,0.897009500576304
"cg00194277",11185,0.76204536027788,0,0,0.76204536027788,0.76204536027788,0.76204536027788
"cg00197495",5507,0,0.0226315789473684,0.0226315789473684,0.0226315789473684,0.0226315789473684,0.0226315789473684
"cg00204262",1891,0,0.0438816265603941,0.0438816265603941,0.0438816265603941,0.0438816265603941,0.0438816265603941
"cg00222175",9215,0,0.0242857142857143,0.0242857142857143,0.0242857142857143,0.0242857142857143,0.0242857142857143
"cg00222690",401265,0,0.415454545454545,0.415454545454545,0.415454545454545,0.415454545454545,0.415454545454545
"cg00242786",113622,0,0.835,0.835,0.835,0.835,0.835
"cg00244111",4071,0.78,0,0.78,0.78,0.78,0.78
"cg00245192",11343,0.117024265644955,0,0.117024265644955,0.117024265644955,0,0.117024265644955
"cg00251125",84033,0,0.464,0.464,0.464,0.464,0.464
"cg00260028",283383,0,0.8275,0,0.8275,0.8275,0.8275
"cg00268009",128,0,0.0114885692948064,0.0114885692948064,0.0114885692948064,0.0114885692948064,0.0114885692948064
"cg00270093",2217,0.471583241837932,0.471583241837932,0,0,0.471583241837932,0.471583241837932
"cg00270521",84033,0,0.464,0.464,0.464,0.464,0.464
"cg00292662",3956,0.164863335581872,0.164863335581872,0,0.164863335581872,0,0.164863335581872
"cg00299286",153579,0.845,0,0.845,0.845,0.845,0.845
"cg00304959",4000,0,0.031151147657302,0.031151147657302,0.031151147657302,0.031151147657302,0.031151147657302
"cg00311303",84033,0,0.464,0.464,0.464,0.464,0.464
"cg00311799",8722,0,0.88125,0,0.88125,0.88125,0.88125
"cg00313106",84033,0,0.464,0.464,0.464,0.464,0.464
"cg00313401",4016,0,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925
"cg00319655",306,0.534649018333058,0,0.534649018333058,0.534649018333058,0.534649018333058,0.534649018333058
"cg00322946",23412,0,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842
"cg00323915",55303,0.91,0,0.91,0,0.91,0.91
"cg00328075",10395,0.776666666666667,0,0.776666666666667,0.776666666666667,0,0.776666666666667
"cg00338893",51650,0,0.09235012093712,0.09235012093712,0.09235012093712,0.09235012093712,0.09235012093712
"cg00346256",718,0.583568982023649,0.583568982023649,0,0.583568982023649,0.583568982023649,0.583568982023649
"cg00351537",140467,0,0.0316874600480474,0.0316874600480474,0.0316874600480474,0.0316874600480474,0.0316874600480474
"cg00356916",845,0,0.895518479979958,0.895518479979958,0.895518479979958,0.895518479979958,0.895518479979958
"cg00369658",710,0.75,0.75,0,0.75,0,0.75
"cg00375581",1292,0.140894922974602,0.140894922974602,0,0.140894922974602,0.140894922974602,0.140894922974602
"cg00378158",9215,0,0.0242857142857143,0.0242857142857143,0.0242857142857143,0.0242857142857143,0.0242857142857143
"cg00380283",5621,0,0.770626707191095,0.770626707191095,0.770626707191095,0.770626707191095,0.770626707191095
"cg00383081",2752,0,0.724997023758654,0,0,0.724997023758654,0.724997023758654
"cg00383136",3122,0.203312958295465,0,0.203312958295465,0,0.203312958295465,0.203312958295465
"cg00400547",6345,0,0.740467966124173,0.740467966124173,0.740467966124173,0.740467966124173,0.740467966124173
"cg00401234",11034,0,0.0282210793016236,0,0.0282210793016236,0,0.0282210793016236
"cg00402617",7534,0.488836927599688,0.488836927599688,0.488836927599688,0,0.488836927599688,0.488836927599688
"cg00403478",3113,0.196886199748856,0,0.196886199748856,0,0.196886199748856,0.196886199748856
"cg00404861",283383,0,0.8275,0,0.8275,0.8275,0.8275
"cg00415424",6546,0,0.9025,0.9025,0.9025,0.9025,0.9025
"cg00416645",3488,0.5125,0.5125,0,0.5125,0,0.5125
"cg00419564",6277,0.0236363636363636,0.0236363636363636,0,0,0.0236363636363636,0.0236363636363636
"cg00428944",7534,0.488836927599688,0.488836927599688,0.488836927599688,0,0.488836927599688,0.488836927599688
"cg00431549",4256,0.775582759918972,0,0,0.775582759918972,0.775582759918972,0.775582759918972
"cg00431673",10395,0.776666666666667,0,0.776666666666667,0.776666666666667,0,0.776666666666667
"cg00441709",5048,0,0.054601115440877,0.054601115440877,0.054601115440877,0.054601115440877,0.054601115440877
"cg00446087",94031,0.0534848484848485,0.0534848484848485,0,0.0534848484848485,0.0534848484848485,0.0534848484848485
"cg00455362",4016,0,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925
"cg00457087",4921,0.867639607128062,0.867639607128062,0,0.867639607128062,0.867639607128062,0.867639607128062
"cg00463202",113622,0,0.835,0.835,0.835,0.835,0.835
"cg00467652",8692,0.878,0,0.878,0.878,0.878,0.878
"cg00471159",3912,0.0095609256426193,0.0095609256426193,0,0.0095609256426193,0.0095609256426193,0.0095609256426193
"cg00473384",11034,0,0.0282210793016236,0,0.0282210793016236,0,0.0282210793016236
"cg00476317",10395,0.776666666666667,0,0.776666666666667,0.776666666666667,0,0.776666666666667
"cg00486259",152503,0,0.496064956869516,0,0.496064956869516,0.496064956869516,0.496064956869516
"cg00486525",27249,0,0.0120157478128174,0.0120157478128174,0.0120157478128174,0.0120157478128174,0.0120157478128174
"cg00507815",2739,0,0.024990425380049,0.024990425380049,0.024990425380049,0.024990425380049,0.024990425380049
"cg00512404",397,0.94,0.94,0.94,0,0.94,0.94
"cg00516678",358,0.557120275326885,0,0.557120275326885,0.557120275326885,0,0.557120275326885
"cg00527825",4016,0,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925
"cg00528492",3122,0.203312958295465,0,0.203312958295465,0,0.203312958295465,0.203312958295465
"cg00532451",84033,0,0.464,0.464,0.464,0.464,0.464
"cg00536792",401265,0,0.415454545454545,0.415454545454545,0.415454545454545,0.415454545454545,0.415454545454545
"cg00539174",1522,0.426190476190476,0.426190476190476,0.426190476190476,0,0.426190476190476,0.426190476190476
"cg00540544",1465,0.801388888888889,0.801388888888889,0,0.801388888888889,0,0.801388888888889
"cg00541683",64129,0.163213837525018,0,0.163213837525018,0.163213837525018,0,0.163213837525018
"cg00560542",79933,0,0.886666666666667,0.886666666666667,0.886666666666667,0.886666666666667,0.886666666666667
"cg00562070",283383,0,0.8275,0,0.8275,0.8275,0.8275
"cg00562139",2217,0.471583241837932,0.471583241837932,0,0,0.471583241837932,0.471583241837932
"cg00563892",9167,0,0.803021695680542,0.803021695680542,0.803021695680542,0.803021695680542,0.803021695680542
"cg00565263",64129,0.163213837525018,0,0.163213837525018,0.163213837525018,0,0.163213837525018
"cg00566164",84033,0,0.464,0.464,0.464,0.464,0.464
"cg00569747",25890,0.45,0.45,0,0.45,0.45,0.45
"cg00570906",3115,0.37525694306936,0,0.37525694306936,0,0.37525694306936,0.37525694306936
"cg00573606",1293,0.782593082650716,0.782593082650716,0,0.782593082650716,0.782593082650716,0.782593082650716
"cg00575896",8692,0.878,0,0.878,0.878,0.878,0.878
"cg00578637",150572,0,0.77,0.77,0.77,0.77,0.77
"cg00581603",6342,0,0.0187772027288867,0.0187772027288867,0.0187772027288867,0.0187772027288867,0.0187772027288867
"cg00586700",2217,0.471583241837932,0.471583241837932,0,0,0.471583241837932,0.471583241837932
"cg00590670",3488,0.5125,0.5125,0,0.5125,0,0.5125
"cg00610991",6546,0,0.9025,0.9025,0.9025,0.9025,0.9025
"cg00611301",51020,0,0.584859664255911,0.584859664255911,0.584859664255911,0.584859664255911,0.584859664255911
"cg00618312",1997,0.365,0,0.365,0,0.365,0.365
"cg00622010",358,0.557120275326885,0,0.557120275326885,0.557120275326885,0,0.557120275326885
"cg00633736",5376,0.608660921436844,0.608660921436844,0,0.608660921436844,0.608660921436844,0.608660921436844
"cg00633768",283383,0,0.8275,0,0.8275,0.8275,0.8275
"cg00651497",2200,0.339991944480098,0.339991944480098,0,0.339991944480098,0.339991944480098,0.339991944480098
"cg00653085",55268,0,0.0339366723793389,0,0.0339366723793389,0.0339366723793389,0.0339366723793389
"cg00653387",5764,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333
"cg00666842",150572,0,0.77,0.77,0.77,0.77,0.77
"cg00669856",10252,0.0288888888888889,0,0,0.0288888888888889,0,0.0288888888888889
"cg00674428",1292,0.140894922974602,0.140894922974602,0,0.140894922974602,0.140894922974602,0.140894922974602
"cg00700214",2327,0.675,0,0,0.675,0.675,0.675
"cg00703885",55679,0,0.952929006781629,0.952929006781629,0.952929006781629,0.952929006781629,0.952929006781629
"cg00709652",25890,0.45,0.45,0,0.45,0.45,0.45
"cg00715925",3488,0.5125,0.5125,0,0.5125,0,0.5125
"cg00720764",27249,0,0.0120157478128174,0.0120157478128174,0.0120157478128174,0.0120157478128174,0.0120157478128174
"cg00725185",161247,0,0.61296555178962,0.61296555178962,0.61296555178962,0.61296555178962,0.61296555178962
"cg00726046",11142,0,0.108375899242747,0,0.108375899242747,0,0.108375899242747
"cg00729875",54873,0,0.5275,0.5275,0.5275,0.5275,0.5275
"cg00738178",6342,0,0.0187772027288867,0.0187772027288867,0.0187772027288867,0.0187772027288867,0.0187772027288867
"cg00739624",6345,0,0.740467966124173,0.740467966124173,0.740467966124173,0.740467966124173,0.740467966124173
"cg00742963",157310,0,0.735,0.735,0.735,0.735,0.735
"cg00749908",22906,0,0.827993627466717,0.827993627466717,0.827993627466717,0.827993627466717,0.827993627466717
"cg00750366",3115,0.37525694306936,0,0.37525694306936,0,0.37525694306936,0.37525694306936
"cg00752045",5048,0,0.054601115440877,0.054601115440877,0.054601115440877,0.054601115440877,0.054601115440877
"cg00767058",113622,0,0.835,0.835,0.835,0.835,0.835
"cg00777079",5176,0.741997113633458,0.741997113633458,0,0.741997113633458,0.741997113633458,0.741997113633458
"cg00779216",1293,0.782593082650716,0.782593082650716,0,0.782593082650716,0.782593082650716,0.782593082650716
"cg00782811",10231,0,0.158,0.158,0.158,0.158,0.158
"cg00798281",3113,0.196886199748856,0,0.196886199748856,0,0.196886199748856,0.196886199748856
"cg00801360",6418,0,0.942507842623867,0.942507842623867,0.942507842623867,0.942507842623867,0.942507842623867
"cg00801465",3280,0.0291666666666667,0.0291666666666667,0,0.0291666666666667,0,0.0291666666666667
"cg00811132",7122,0.897009500576304,0,0.897009500576304,0.897009500576304,0.897009500576304,0.897009500576304
"cg00819233",4921,0.867639607128062,0.867639607128062,0,0.867639607128062,0.867639607128062,0.867639607128062
"cg00824141",2274,0,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698
"cg00830735",5507,0,0.0226315789473684,0.0226315789473684,0.0226315789473684,0.0226315789473684,0.0226315789473684
"cg00832923",55303,0.91,0,0.91,0,0.91,0.91
"cg00833344",27249,0,0.0120157478128174,0.0120157478128174,0.0120157478128174,0.0120157478128174,0.0120157478128174
"cg00840516",8692,0.878,0,0.878,0.878,0.878,0.878
"cg00844277",5176,0.741997113633458,0.741997113633458,0,0.741997113633458,0.741997113633458,0.741997113633458
"cg00855923",23676,0,0.92,0.92,0.92,0.92,0.92
"cg00865541",115701,0,0.636347310744189,0.636347310744189,0.636347310744189,0.636347310744189,0.636347310744189
"cg00866870",3912,0.0095609256426193,0.0095609256426193,0,0.0095609256426193,0.0095609256426193,0.0095609256426193
"cg00870449",6546,0,0.9025,0.9025,0.9025,0.9025,0.9025
"cg00882832",10252,0.0288888888888889,0,0,0.0288888888888889,0,0.0288888888888889
"cg00901161",157310,0,0.735,0.735,0.735,0.735,0.735
"cg00901843",84033,0,0.464,0.464,0.464,0.464,0.464
"cg00913604",6236,0,0.0576923076923077,0.0576923076923077,0.0576923076923077,0.0576923076923077,0.0576923076923077
"cg00915663",1997,0.365,0,0.365,0,0.365,0.365
"cg00921219",283383,0,0.8275,0,0.8275,0.8275,0.8275
"cg00923860",94031,0.0534848484848485,0.0534848484848485,0,0.0534848484848485,0.0534848484848485,0.0534848484848485
"cg00929658",1292,0.140894922974602,0.140894922974602,0,0.140894922974602,0.140894922974602,0.140894922974602
"cg00933411",10395,0.776666666666667,0,0.776666666666667,0.776666666666667,0,0.776666666666667
"cg00945107",113622,0,0.835,0.835,0.835,0.835,0.835
"cg00952516",157310,0,0.735,0.735,0.735,0.735,0.735
"cg00958854",50808,0,0.0843422102774502,0.0843422102774502,0.0843422102774502,0.0843422102774502,0.0843422102774502
"cg00964355",84033,0,0.464,0.464,0.464,0.464,0.464
"cg00978415",8991,0,0.875,0.875,0.875,0.875,0.875
"cg00983732",311,0,0.161538461538462,0.161538461538462,0.161538461538462,0.161538461538462,0.161538461538462
"cg00984967",2752,0,0.724997023758654,0,0,0.724997023758654,0.724997023758654
"cg01007821",2274,0,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698,0.600913267118698
"cg01008088",283383,0,0.8275,0,0.8275,0.8275,0.8275
