cpg,breast_bc_hc,breast_bc_case,breast_delta_bc,breast_mean_beta_hc,breast_mean_beta_case,breast_sd_beta_hc,breast_sd_beta_case,breast_delta_var,breast_bimodal_in_hc,breast_lost_in_case,breast_loss_of_bimodality,breast_in_residual_concordant,ad_bc_hc,ad_bc_case,ad_delta_bc,ad_mean_beta_hc,ad_mean_beta_case,ad_sd_beta_hc,ad_sd_beta_case,ad_delta_var,ad_bimodal_in_hc,ad_lost_in_case,ad_loss_of_bimodality,ad_in_residual_concordant,double_disease_gain_of_bimodality,double_disease_loss_of_bimodality,opposing_bimodality_pattern,residual_map_firing_pattern,CHR,MAPINFO
cg00002033,0.4928451463978825,0.657902284961707,0.1650571385638244,0.8776672494992493,0.8527368653105635,0.0699689733633678,0.098440784404422,0.0047949308006342,False,False,False,False,0.5873980560275712,0.6201404581951129,0.0327424021675416,0.7646825414012739,0.7778390000000001,0.1463894534472078,0.1517635974268862,0.0016023174233777,True,False,False,False,False,False,False,fires_neither_background,19,39307841.0
cg00002426,0.2928519889427033,0.481092103674263,0.1882401147315596,0.8973960187208211,0.8923499739578414,0.0196504503060165,0.029238455432837,0.0004687470788687,False,True,False,False,0.3877667295396411,0.4192457496281214,0.0314790200884803,0.8873874564755839,0.8874711428571429,0.022779982682958,0.025719782187758,0.0001425795847498,False,False,False,False,False,False,False,fires_neither_background,3,57757816.0
cg00004700,0.2690751467886207,0.3181604546469633,0.0490853078583425,0.9266353991501204,0.9274118678174594,0.0171615326863252,0.0248611617405364,0.0003235591589453,False,True,False,False,0.3616471583670963,0.2982794054108064,-0.0633677529562899,0.9136648917197452,0.914194105590062,0.0086563753836041,0.0099500317352524,2.4070296750663544e-05,False,False,False,False,False,False,False,fires_neither_background,2,105397428.0
cg00007466,0.2959945027071589,0.2351137012289135,-0.0608808014782453,0.9326643220081104,0.9284126686876928,0.0136876647137805,0.0190455574119874,0.0001753810918164,False,True,False,False,0.3927544059871674,0.3506893537902448,-0.0420650521969226,0.9154443630573248,0.9149712173913044,0.0112496123219176,0.0114177814573889,3.811956015254775e-06,False,False,False,False,False,False,False,fires_neither_background,19,7520200.0
cg00009750,0.3233890188968888,0.3732845337934223,0.0498955148965334,0.9595816391774886,0.9579076023111612,0.0173957820439263,0.0236059737972232,0.0002546287659953,False,True,False,False,0.3854596943608852,0.7347325817028446,0.3492728873419594,0.9302133609341826,0.93019250310559,0.0075831808512418,0.0132038568849807,0.0001168372048164,False,False,False,False,False,False,False,fires_neither_background,2,201866169.0
cg00014203,0.8438302100179046,0.6610331809831278,-0.1827970290347768,0.9680505672383752,0.9685060280304002,0.0678649271947513,0.0251060486341375,-0.0039753346651292,True,False,False,False,0.3605328792577156,0.4188842755326377,0.058351396274922,0.7530326050955414,0.7530813664596274,0.0516200810937014,0.0582495543196136,0.0007283778063133,False,False,False,False,False,False,True,fires_neither_background,17,7854651.0
cg00015530,0.4497100221350619,0.3909320840099662,-0.0587779381250956,0.0918940616049015,0.0960002348292389,0.0308892988326898,0.0341042468593241,0.0002089508714665,False,True,False,False,0.3630082427713614,0.3576567154680286,-0.0053515273033328,0.0923625626326963,0.0912356211180124,0.0139000843810313,0.0130883244038074,-2.1908110100490907e-05,False,False,False,False,False,False,False,fires_neither_background,8,143978782.0
cg00017461,0.3177369061004594,0.4361501337512921,0.1184132276508326,0.021376671197369,0.019412414586859,0.0083427949883891,0.0114432674912272,6.134614265748852e-05,False,True,False,False,0.2815878696950202,0.3228490106430399,0.0412611409480196,0.0252473757961783,0.0249705652173913,0.0020785790197766,0.0020231801816157,-2.27232694172873e-07,False,False,False,False,False,False,False,fires_neither_background,22,30267327.0
cg00018229,0.3127224350905697,0.3679600099998662,0.0552375749092965,0.0609596229637604,0.0481301538488459,0.0148287276313739,0.0162042711650474,4.268724082491588e-05,False,True,False,True,0.3813467101633628,0.9639311943986616,0.5825844842352988,0.0454678938428874,0.0502965714285714,0.0101449723205364,0.065407286588414,0.0041751926754744,False,False,False,False,True,False,False,fires_breast_only,1,230977673.0
cg00021152,0.4644563154518596,0.6726455832561172,0.2081892678042576,0.9837698982777524,0.9787431758987364,0.0120659307497587,0.0169407095191209,0.0001414009541532,False,False,False,False,0.3541845067833952,0.9490316817642932,0.5948471749808981,0.9450610233545648,0.9432049627329192,0.0048061596786727,0.0286485096983438,0.0007976379370792,False,False,False,False,True,False,False,fires_neither_background,8,26509572.0
