cpg_id,PT,POD,DCT,TAL,PC,CNT_IC,PEC,FIB,EC,Myeloid,B
cg00001583,0.094176,0.094176,0.094176,0.094176,0.094176,0.094176,0.094176,0.094176,0.303112,0.094176,0.094176
cg00004061,0.829816,0.829816,0.829816,0.829816,0.829816,0.829816,0.829816,0.516199,0.829816,0.829816,0.829816
cg00012992,0.258949,0.258949,0.258949,0.258949,0.258949,0.258949,0.258949,0.258949,0.028975,0.258949,0.258949
cg00014998,0.14111,0.14111,0.14111,0.14111,0.14111,0.14111,0.14111,0.787162,0.627228,0.14111,0.14111
cg00020622,0.373038,0.373038,0.373038,0.373038,0.373038,0.373038,0.373038,0.076258,0.373038,0.373038,0.373038
cg00024494,0.419485,0.419485,0.419485,0.419485,0.806102,0.419485,0.419485,0.419485,0.419485,0.419485,0.419485
cg00027637,0.759282,0.759282,0.759282,0.759282,0.759282,0.759282,0.759282,0.759282,0.346641,0.759282,0.759282
cg00028935,0.118393,0.118393,0.118393,0.118393,0.118393,0.118393,0.118393,0.118393,0.118393,0.118393,0.352695
cg00029353,0.0291,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023,0.25023
cg00036408,0.093856,0.093856,0.093856,0.093856,0.093856,0.093856,0.093856,0.093856,0.093856,0.093856,0.376506
cg00036732,0.820948,0.2853,0.820948,0.820948,0.820948,0.820948,0.820948,0.820948,0.820948,0.820948,0.820948
cg00037153,0.348252,0.348252,0.348252,0.348252,0.348252,0.348252,0.348252,0.348252,0.348252,0.348252,0.633147
cg00040007,0.494062,0.494062,0.494062,0.494062,0.494062,0.494062,0.494062,0.494062,0.205641,0.494062,0.494062
cg00040268,0.3681325,0.3681325,0.3681325,0.3681325,0.3681325,0.3681325,0.3681325,0.3681325,0.3681325,0.943416,0.83221
cg00044665,0.803718,0.803718,0.803718,0.803718,0.803718,0.803718,0.803718,0.803718,0.028905,0.803718,0.803718
cg00052246,0.856634,0.856634,0.856634,0.856634,0.856634,0.856634,0.856634,0.856634,0.521779,0.856634,0.856634
cg00053755,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.251973,0.530295
cg00056066,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.046579,0.266142
cg00057393,0.334665,0.334665,0.334665,0.334665,0.334665,0.334665,0.334665,0.020118,0.334665,0.334665,0.334665
cg00060956,0.708964,0.708964,0.708964,0.456851,0.708964,0.708964,0.708964,0.708964,0.708964,0.708964,0.708964
