CpG_ID,Epi,Fib,Fat,IC
cg24771152,0.151047223,0.948686291,0.9906655,0.943486431
cg06631999,0.089837755,0.873136648,0.988547299,0.985019518
cg13471735,0.11029363,0.832330515,0.826204267,0.926220258
cg23080355,0.075530074,0.828926572,0.929593373,0.991588747
cg16402006,0.181012573,0.876782206,0.96601275,0.947982229
cg02870676,0.148632286,0.876968747,0.968763618,0.966934335
cg02524834,0.102398961,0.815007696,0.933672314,0.93482775
cg08942527,0.032033718,0.86039397,0.732972328,0.910098819
cg04906886,0.105805217,0.766113038,0.840922873,0.941421924
cg26047066,0.11701097,0.762470273,0.71975125,0.95975624
cg01607932,0.188664121,0.912567653,0.757502519,0.981678746
cg14116056,0.192570267,0.917471261,0.981268409,0.977425054
cg01009920,0.042888212,0.712008186,0.8459928,0.939461315
cg21121082,0.183195491,0.970039617,0.987866318,0.971512751
cg25001102,0.159538472,0.736436617,0.82510525,0.962240723
cg00927503,0.122443175,0.809816069,0.981329718,0.953228774
cg02272851,0.027930996,0.720959738,0.759698997,0.951224957
cg10090591,0.166842933,0.762888748,0.987748243,0.983424421
cg17868893,0.184664845,0.908346478,0.974864079,0.948593211
cg03467706,0.116260617,0.687146038,0.891515642,0.894823893
cg03198203,0.099009945,0.731871283,0.839325267,0.897910518
cg18580385,0.135284626,0.747607938,0.960714763,0.940232784
cg02697979,0.090349859,0.850469278,0.946366066,0.892134493
cg06398242,0.055397153,0.635704543,0.7780238,0.927321754
cg24937735,0.033869298,0.677585387,0.889246554,0.98529264
cg14029912,0.070733808,0.645734216,0.595222923,0.964974877
cg02404377,0.079183788,0.731939036,0.815299715,0.979112253
cg18718469,0.190260723,0.870615591,0.631082293,0.96647179
cg18563987,0.070707124,0.687803222,0.558275123,0.948074902
cg05416753,0.037702329,0.645101834,0.954558013,0.933591728
cg24770408,0.052116502,0.603056417,0.913257023,0.935742178
cg14394171,0.127183568,0.709245469,0.760580054,0.939140042
cg26869615,0.178473859,0.794510567,0.701088161,0.968928659
cg14195992,0.052088903,0.962918262,0.450120373,0.839784188
cg26479028,0.098661112,0.606826777,0.593574641,0.914991123
cg00264419,0.031065457,0.65999376,0.749086012,0.837810247
cg06227406,0.081735728,0.653160517,0.85595148,0.917565778
cg16959787,0.89643114,0.397171932,0.112030055,0.072134733
cg08942191,0.104509514,0.816739925,0.974636245,0.856257844
cg00944421,0.039695412,0.63098021,0.479743,0.863996798
cg16365424,0.033679188,0.554437406,0.985982649,0.927947429
cg21340733,0.111568799,0.560030422,0.800777256,0.938847277
cg05052271,0.164722637,0.720263659,0.669516001,0.957886608
cg21647035,0.041585986,0.611221245,0.435088441,0.97858432
cg09493621,0.130598328,0.590106602,0.900226062,0.962881019
cg20761840,0.131972704,0.640148708,0.629091724,0.940636077
cg08670693,0.031824821,0.521969685,0.722343002,0.961722574
cg26552650,0.150248773,0.625835459,0.987677285,0.966085067
cg01089914,0.160420542,0.774515123,0.45017295,0.983069674
cg20772593,0.096515963,0.540605683,0.825113388,0.92976781
cg15718528,0.115236301,0.595793387,0.541720121,0.926587598
cg15569292,0.189402174,0.760116176,0.894625424,0.987453094
cg20949700,0.092345346,0.580187492,0.607195006,0.958326473
cg09680131,0.151886968,0.597472663,0.95426925,0.974465272
cg12885484,0.096214016,0.54986697,0.949381536,0.921465257
cg22055891,0.141280232,0.596909904,0.886971888,0.952667316
cg10317717,0.090143705,0.628241017,0.5489208,0.96448185
cg18195165,0.030329355,0.487595058,0.734068317,0.851240255
cg26874999,0.12847573,0.565505784,0.785281486,0.950833994
cg22950831,0.061963659,0.479256275,0.967206977,0.904997926
cg20685233,0.097195514,0.507566823,0.661534949,0.972925976
cg19653282,0.088469747,0.56692678,0.607095306,0.93075608
cg07959609,0.138296865,0.528146064,0.671084394,0.973932171
cg19797087,0.866778846,0.497556484,0.41727265,0.037108217
cg16775752,0.126506537,0.595735627,0.48163415,0.984178808
cg07373212,0.154767171,0.528579914,0.974737634,0.959232863
cg21807944,0.080744018,0.512986315,0.651244874,0.906863555
cg23920016,0.094586092,0.459606288,0.955596463,0.970224084
cg16167060,0.088965314,0.445859848,0.904545028,0.968123794
cg22159939,0.061231106,0.429991414,0.657297985,0.932093361
cg23342625,0.109189031,0.525264468,0.917640799,0.937331656
cg10290679,0.115855236,0.543844645,0.424153133,0.96945983
cg25407528,0.101495144,0.52263972,0.521044923,0.937274314
cg14247287,0.038497175,0.442204478,0.575795674,0.878314063
cg05264377,0.071048907,0.424031711,0.884983761,0.951060306
cg13714378,0.124314922,0.421644054,0.926178165,0.948002738
cg21576187,0.033347706,0.418924761,0.825640058,0.936103958
cg17272838,0.07242017,0.381741956,0.797757399,0.934138213
cg13393327,0.109392626,0.442591617,0.957544121,0.951534191
cg26203383,0.878229412,0.464595064,0.641147978,0.009400376
cg11820833,0.017432124,0.444671891,0.792827924,0.825158881
cg13370010,0.138489126,0.561906879,0.978592665,0.976425323
cg17454283,0.934595436,0.517020701,0.777491718,0.063350906
cg25655489,0.026773181,0.379561619,0.706537766,0.923229917
cg21130374,0.845102106,0.44016801,0.223522571,0.009792309
cg00869330,0.069953155,0.483083544,0.639775537,0.91916741
cg24028634,0.912989054,0.575753899,0.19723145,0.061713014
cg25037165,0.029886512,0.385979097,0.7294627,0.85405516
cg03840259,0.89368636,0.425581148,0.77075273,0.009069317
cg21332304,0.155397012,0.474732343,0.711892319,0.983893802
cg05174942,0.127069548,0.432520292,0.907235856,0.947366337
cg08804626,0.019386274,0.370983931,0.975864968,0.983819218
cg02223135,0.133916026,0.425360394,0.961005948,0.980741978
cg22436753,0.895834221,0.504102794,0.720443357,0.008722704
cg26049390,0.07084022,0.396094216,0.706726641,0.902006653
cg22391718,0.058283262,0.373720033,0.5168677,0.924460438
cg14420953,0.119295346,0.381110256,0.839818278,0.964062677
cg25587431,0.061549014,0.507031176,0.340286514,0.9014201
cg09398856,0.121303786,0.558368149,0.580947854,0.981869911
cg09615821,0.051779463,0.363564163,0.56409595,0.876427727
cg05856951,0.075023163,0.325734177,0.965488179,0.975714936
cg21475610,0.082786919,0.510396013,0.642127231,0.906444752
cg09302031,0.072395479,0.395090754,0.511848044,0.964898163
cg06800235,0.893224155,0.558708689,0.5474062,0.026085361
cg21733927,0.044811799,0.313563791,0.608347811,0.898978985
cg01035931,0.141270232,0.425392329,0.581773689,0.975689193
cg12523691,0.118739826,0.403394026,0.972919794,0.956761555
cg05257202,0.968542378,0.500590405,0.108317937,0.139497655
cg17344099,0.075318547,0.328001038,0.78330611,0.931592253
cg03573679,0.927816188,0.62146983,0.6346099,0.077919075
cg04751032,0.063468959,0.347077364,0.658248943,0.970535367
cg19230787,0.920157115,0.276079939,0.919148574,0.960994994
cg06804334,0.938082177,0.201873458,0.789876826,0.964077523
cg17261096,0.909664559,0.188399976,0.785388227,0.955397442
cg10293282,0.886190242,0.141494049,0.832167724,0.94542366
cg10012393,0.839852101,0.123915591,0.8059537,0.931067815
cg09153659,0.871716652,0.265267094,0.952697316,0.953153145
cg12190306,0.936767109,0.225152032,0.861291446,0.922300493
cg19007570,0.934093902,0.30398109,0.915269911,0.979251256
cg08480996,0.861741816,0.124643165,0.923494268,0.98335327
cg26683636,0.919095192,0.309394443,0.968282277,0.977739739
cg01736164,0.886171088,0.230773423,0.680556,0.978602427
cg27040696,0.780639897,0.160943355,0.772535377,0.883112211
cg11661265,0.920921081,0.36006539,0.962466824,0.981812896
cg06224766,0.79338499,0.140466659,0.829171188,0.951532021
cg14660163,0.89590789,0.205259619,0.744782614,0.984139208
cg04256248,0.944511767,0.229072257,0.58965815,0.967210383
cg10134425,0.932632897,0.112811519,0.855967139,0.923332891
cg15275965,0.726253699,0.118391538,0.835039921,0.879074568
cg25621182,0.128427863,0.703588785,0.203986421,0.080175369
cg01952742,0.835475158,0.295560138,0.959755676,0.972461649
cg19119942,0.875037865,0.263442869,0.70513585,0.970398021
cg08167560,0.789746025,0.230774456,0.909849554,0.932859758
cg24851600,0.871871,0.302996212,0.876229065,0.918482385
cg01604468,0.918042585,0.275300019,0.911686159,0.968739651
cg01292175,0.828220577,0.288141571,0.8912429,0.934192394
cg06120359,0.789637164,0.129182526,0.751937889,0.900195984
cg20679448,0.889841192,0.213955196,0.935740625,0.942228485
cg21346679,0.880486638,0.212688704,0.86491437,0.935783512
cg18167466,0.882058087,0.254495196,0.843001143,0.979952912
cg14740976,0.86130725,0.303741979,0.856783691,0.938670244
cg25540854,0.872818082,0.238303149,0.754546667,0.957445728
cg15805337,0.855664344,0.266162769,0.946540648,0.957544575
cg19795556,0.862456912,0.176733506,0.6231576,0.954864163
cg00136968,0.87045557,0.224660288,0.928916872,0.873465879
cg25920191,0.872575534,0.24949119,0.840083448,0.972307358
cg09467675,0.895330995,0.241973845,0.9557852,0.96416101
cg17262755,0.821088123,0.197600498,0.570382073,0.904178145
cg09968147,0.874579838,0.233094363,0.619925241,0.947851944
cg13445249,0.908027809,0.224836276,0.988883823,0.896329967
cg21474774,0.806544204,0.137252043,0.727358658,0.958291538
cg24838237,0.784030036,0.17853397,0.762563559,0.846269088
cg06585804,0.882467699,0.242516897,0.639367661,0.955878171
cg01947943,0.808823479,0.260836672,0.920728436,0.934402312
cg14153740,0.85484323,0.315236543,0.923137789,0.94584919
cg26010655,0.811255022,0.2623056,0.824532371,0.884326464
cg17280723,0.878422093,0.320557991,0.968559413,0.952452387
cg27131703,0.848756892,0.151257763,0.882998322,0.922709841
cg24650913,0.849917882,0.290419181,0.947890516,0.945614855
cg03249131,0.894243282,0.261364307,0.777571,0.949041158
cg06795722,0.893436568,0.292024586,0.922802618,0.920904385
cg03373714,0.046587862,0.813776213,0.586576283,0.025509232
cg04914574,0.746812336,0.168386908,0.77958788,0.843630812
cg13903282,0.670096241,0.083485492,0.588106505,0.783006181
cg01329509,0.822835103,0.272534109,0.93007635,0.89196376
cg02060919,0.784207841,0.061151225,0.490119925,0.887514273
cg11389618,0.923408614,0.32039566,0.947925103,0.974092501
