cpg,CHR,MAPINFO,breast_d_GSE51057,breast_d_GSE51032,breast_d_mean,breast_sign,breast_mean_abs_d,breast_concordant_strong,ad_d_AIBL,ad_d_AddNeuroMed,ad_d_mean,ad_sign,ad_mean_abs_d,ad_concordant_strong,cross_disease_firing_pattern,cross_disease_mean_abs_d
cg00002033,19,39307841.0,-0.9370206501715383,-0.1920637575183611,-0.5645422038449497,-1.0,0.5645422038449498,False,0.103629,-0.132475,-0.014423000000000005,-1.0,0.118052,False,fires_neither_background,0.3412971019224749
cg00002426,3,57757816.0,-0.4369606574611838,-0.2053171577830403,-0.32113890762211206,-1.0,0.321138907622112,False,-0.003522,-0.02561,-0.014566,-1.0,0.014566,False,fires_neither_background,0.167852453811056
cg00004700,2,105397428.0,-0.239021429139468,0.1268585139097298,-0.0560814576148691,-1.0,0.1829399715245989,False,0.052402,-0.28874,-0.118169,-1.0,0.170571,False,fires_neither_background,0.17675548576229944
cg00007466,19,7520200.0,-0.6853711800699338,-0.2539676634482047,-0.4696694217590692,-1.0,0.4696694217590693,False,-0.093414,-0.281758,-0.187586,-1.0,0.187586,False,fires_neither_background,0.32862771087953463
cg00009750,2,201866169.0,-0.8134721960700803,0.2691727543760529,-0.27214972084701367,-1.0,0.5413224752230665,False,0.093166,0.032713,0.0629395,1.0,0.06294,False,fires_neither_background,0.30213123761153327
cg00014203,17,7854651.0,-0.0254925539495007,0.0608478763285305,0.017677661189514898,1.0,0.0431702151390156,False,0.022384,-0.079214,-0.028415000000000003,-1.0,0.050799,False,fires_neither_background,0.0469846075695078
cg00015530,8,143978782.0,0.7504720060535643,-0.0879011084372003,0.331285448808182,1.0,0.4191865572453823,False,-0.128338,0.08296,-0.022689,-1.0,0.105649,False,fires_neither_background,0.26241777862269117
cg00017461,22,30267327.0,-0.3908867975203209,-0.2311846310436209,-0.3110357142819709,-1.0,0.3110357142819709,False,-0.189787,0.040411,-0.074688,-1.0,0.115099,False,fires_neither_background,0.21306735714098546
cg00018229,1,230977673.0,-0.7581081605834211,-0.9487005761894564,-0.8534043683864387,-1.0,0.8534043683864387,True,0.142793,0.127527,0.13516,1.0,0.13516,False,fires_breast_only,0.49428218419321934
cg00021152,8,26509572.0,-0.6728986088248501,0.0481449171664523,-0.3123768458291989,-1.0,0.3605217629956512,False,-0.03462,-0.158454,-0.09653700000000001,-1.0,0.096537,False,fires_neither_background,0.2285293814978256
cg00023321,6,31543586.0,-1.444087427672343,-0.5695494263700852,-1.0068184270212142,-1.0,1.0068184270212142,True,0.056615,0.271671,0.16414299999999998,1.0,0.164143,False,fires_breast_only,0.585480713510607
cg00025331,2,144389783.0,0.3694886567068147,-0.393501402583323,-0.012006372938254156,-1.0,0.3814950296450689,False,0.150315,-0.016717,0.066799,1.0,0.083516,False,fires_neither_background,0.23250551482253445
cg00026290,4,10684930.0,-0.1144703689134686,-0.1081976711204755,-0.11133402001697204,-1.0,0.111334020016972,False,-0.322214,-0.24999,-0.28610199999999997,-1.0,0.286102,True,fires_AD_only,0.19871801000848602
cg00028336,4,185820634.0,-0.8511760518874087,0.23308231274572,-0.3090468695708444,-1.0,0.5421291823165644,False,0.09411,-0.235731,-0.0708105,-1.0,0.164921,False,fires_neither_background,0.3535250911582822
cg00028929,12,52514694.0,-0.3919163857484931,0.2395747550817941,-0.07617081533334949,-1.0,0.3157455704151436,False,0.021516,-0.030297,-0.0043905,-1.0,0.025907,False,fires_neither_background,0.17082628520757182
cg00031013,17,7854615.0,-0.1282791897269849,-0.3566895464896806,-0.24248436810833274,-1.0,0.2424843681083327,False,-0.01052,-0.140971,-0.07574550000000001,-1.0,0.075746,False,fires_neither_background,0.15911518405416636
cg00031187,12,31370063.0,0.1225011723003235,0.1895140211799192,0.15600759674012135,1.0,0.1560075967401213,False,0.195541,-0.117036,0.039252499999999996,1.0,0.156289,False,fires_neither_background,0.15614829837006067
cg00034336,2,8543996.0,-0.3242700782711862,-0.1843617516606978,-0.25431591496594197,-1.0,0.254315914965942,False,-0.161069,-0.152645,-0.156857,-1.0,0.156857,False,fires_neither_background,0.205586457482971
cg00037681,12,47216588.0,0.4249748065573078,0.6258595098339095,0.5254171581956086,1.0,0.5254171581956086,True,-0.250246,0.052794,-0.09872600000000001,-1.0,0.15152,False,fires_breast_only,0.3384685790978043
cg00041401,1,113871786.0,-0.1533105770293555,-0.1283003645246214,-0.14080547077698846,-1.0,0.1408054707769884,False,-0.068711,0.090753,0.011021000000000003,1.0,0.079732,False,fires_neither_background,0.1102687353884942
cg00041575,11,2301511.0,0.419655995349157,-0.099882414215286,0.1598867905669355,1.0,0.2597692047822215,False,-0.187846,0.114029,-0.036908500000000004,-1.0,0.150937,False,fires_neither_background,0.20535310239111074
cg00041865,5,14904314.0,-0.8339863920617712,-0.4801283108827884,-0.6570573514722797,-1.0,0.6570573514722797,True,0.214904,-0.249239,-0.01716749999999999,-1.0,0.232071,False,fires_breast_only,0.4445641757361399
cg00043076,4,8442050.0,0.0796291457086326,0.0993282146445328,0.0894786801765827,1.0,0.0894786801765827,False,0.123866,-0.034237,0.04481450000000001,1.0,0.079052,False,fires_neither_background,0.08426534008829134
cg00045753,9,120868267.0,-0.4066078304632991,-0.1310118744757838,-0.2688098524695415,-1.0,0.2688098524695415,False,0.085402,0.164641,0.1250215,1.0,0.125021,False,fires_neither_background,0.19691542623477074
cg00047683,16,72000223.0,-0.219798105326129,-0.2152761343091829,-0.21753711981765594,-1.0,0.2175371198176559,False,0.197088,0.117797,0.1574425,1.0,0.157442,False,fires_neither_background,0.18748955990882793
cg00048743,5,141402800.0,-0.0766864702530145,-0.1361665021806177,-0.10642648621681611,-1.0,0.1064264862168161,False,-0.012109,-0.158359,-0.085234,-1.0,0.085234,False,fires_neither_background,0.09583024310840804
cg00051307,5,73228366.0,-0.1544048255794402,-0.0518153222759038,-0.103110073927672,-1.0,0.103110073927672,False,-0.146509,-0.213134,-0.1798215,-1.0,0.179821,False,fires_neither_background,0.141465536963836
cg00057966,17,58331333.0,-0.0819839272788726,-0.186973396651545,-0.1344786619652088,-1.0,0.1344786619652088,False,0.061364,0.185997,0.1236805,1.0,0.12368,False,fires_neither_background,0.1290793309826044
cg00058887,4,183987865.0,0.081357427779409,-0.0807835913232668,0.0002869182280711008,1.0,0.0810705095513379,False,-0.057465,-0.032313,-0.044889,-1.0,0.044889,False,fires_neither_background,0.06297975477566894
cg00067884,15,63677999.0,-1.2073317715251943,-0.6677769548678595,-0.9375543631965269,-1.0,0.9375543631965269,True,0.102362,0.044555,0.0734585,1.0,0.073459,False,fires_breast_only,0.5055066815982634
cg00070899,6,34056702.0,-0.6501269376727047,-0.0780156831472626,-0.36407131040998364,-1.0,0.3640713104099836,False,-0.101347,0.028798,-0.0362745,-1.0,0.065073,False,fires_neither_background,0.2145721552049918
cg00075967,15,74203013.0,-0.4570260556803673,-0.2429717816773311,-0.3499989186788492,-1.0,0.3499989186788492,False,-0.014697,0.164539,0.074921,1.0,0.089618,False,fires_neither_background,0.2198084593394246
cg00078348,11,113974765.0,0.5580071185755697,0.1872884352525383,0.37264777691405404,1.0,0.372647776914054,False,-0.235557,-0.019147,-0.127352,-1.0,0.127352,False,fires_neither_background,0.24999988845702698
cg00081602,5,73627132.0,-0.7804423179621909,0.0284627150521146,-0.37598980145503813,-1.0,0.4044525165071527,False,0.175459,0.072388,0.12392349999999999,1.0,0.123924,False,fires_neither_background,0.26418825825357634
cg00082235,12,6555370.0,-0.0962478499334836,-0.639814407168261,-0.3680311285508723,-1.0,0.3680311285508723,False,0.037541,0.097548,0.0675445,1.0,0.067545,False,fires_neither_background,0.21778806427543612
