IlmnID,CHR,MAPINFO
cg00000029,16,53468111
cg00000103,4,73470185
cg00000109,3,171916036
cg00000155,7,2590564
cg00000158,9,95010554
cg00000165,1,91194673
cg00000221,17,54534247
cg00000236,8,42263293
cg00000289,14,69341138
cg00000292,16,28890099
cg00000321,8,41167801
cg00000363,1,230560792
cg00000540,1,28462663
cg00000579,9,101464232
cg00000596,8,133098501
cg00000622,15,23034446
cg00000658,9,139997923
cg00000714,19,54695677
cg00000721,6,25282778
cg00000734,3,128902376
cg00000765,1,230404312
cg00000769,12,124086476
cg00000776,4,156388204
cg00000807,2,23913413
cg00000884,4,154609856
cg00000905,15,59785305
cg00000924,11,2720462
cg00000948,8,49890608
cg00000957,1,5937252
cg00000974,20,6750605
cg00001099,8,87081552
cg00001126,3,81734039
cg00001136,11,70546154
cg00001193,8,108113754
cg00001224,7,87252523
cg00001245,3,15106709
cg00001249,14,60389785
cg00001269,20,48959003
cg00001364,1,214170375
cg00001446,1,43831040
cg00001503,1,25378898
cg00001506,18,61050586
cg00001510,19,54746944
cg00001520,14,37666488
cg00001534,1,51034864
cg00001582,10,80828701
cg00001583,1,200011785
cg00001593,1,170490433
cg00001594,2,11484704
cg00001610,12,30844231
cg00001636,1,67678885
cg00001638,5,129212638
cg00001687,16,89761660
cg00001747,2,105460262
cg00001755,17,48946789
cg00001784,4,185467587
cg00001791,2,103414041
cg00001793,12,11905389
cg00001801,8,107299450
cg00001809,14,101154024
cg00001810,8,136659293
cg00001814,2,31520959
cg00001854,16,47008490
cg00001874,10,69990587
cg00001930,18,60055083
cg00001997,11,107986911
cg00002000,1,116956990
cg00002028,1,20960009
cg00002033,19,39798480
cg00002080,21,30390416
cg00002116,17,79670409
cg00002145,2,238249535
cg00002154,4,59941654
cg00002176,20,44902244
cg00002186,10,50085162
cg00002190,8,19555032
cg00002224,8,144120398
cg00002236,18,67873060
cg00002350,2,38657542
cg00002366,4,91736934
cg00002398,5,156947637
cg00002406,16,30366434
cg00002426,3,57743542
cg00002444,8,126714291
cg00002449,10,28961564
cg00002464,8,120428417
cg00002473,2,218988875
cg00002490,4,2264509
cg00002531,7,127721793
cg00002559,19,34919658
cg00002590,5,106316533
cg00002591,3,52870542
cg00002593,1,1268792
cg00002597,16,31437782
cg00002646,1,153515501
cg00002660,12,56583609
cg00002684,15,78572267
cg00002719,1,169396705
cg00002743,2,86742475
cg00002749,17,57839537
cg00002769,16,90002617
cg00002776,8,145264937
cg00002780,14,100495940
cg00002808,1,223568699
cg00002809,17,76482352
